Convexity Adjustment (Futures),F_{fut} = F_{fwd} - ½ Cov(∫_t^T r_s ds r_T),Interest Rate Models,Adjustment from forward to futures price due to daily settlement. Covariance between interest rates and discount factors creates convexity difference.
Correlation Structure,ρ_{i j} = exp(-|T_i - T_j|/λ) × [α + (1-α) exp(-min(T_i T_j)/λ)],Interest Rate Models,Parametric correlation function for forward rates. Exponential decay with decorrelation parameter λ and asymptotic level α.
Cross-Currency Basis Swap,V_{basis} = ∑_{i=1}^n δ_i (R_{dom} - R_{for} × FX_{fwd}) P(0 T_i),Interest Rate Models,Valuation of cross-currency basis swap. Captures deviation from covered interest rate parity through basis spread.
Digital Caplet/Floorlet,V_{digital} = P(0 T_i) K Φ(±d_2),Interest Rate Models,Binary option on interest rates paying fixed amount if rate exceeds strike. Used in structured interest rate products.
Discount Factor Construction,P(t T) = exp(-∑_{i=1}^n f_i Δt_i),Interest Rate Models,Bootstrapping discount factors from piecewise constant forward rates. Fundamental yield curve construction technique.
Dispersion Trading,P&L ∝ σ_{idx}² - ∑ w_i² σ_i²,Interest Rate Models,Trading strategy exploiting difference between index volatility and weighted sum of constituent volatilities. Captures correlation risk premium.
Drift Adjustment,μ_k(t) = σ_k(t) × ∑_{j=1}^k [τ_j F_j(t) σ_j(t) ρ_{k j}]/[1 + τ_j F_j(t)],Interest Rate Models,Drift adjustment for forward rates under different measures in LIBOR Market Model. Ensures arbitrage-free dynamics.
Fama-French 3-Factor Model,R_i - R_f = α + β^{MKT}(R_m - R_f) + β^{SMB} SMB + β^{HML} HML,Interest Rate Models,Empirical asset pricing model extending CAPM with size and value factors. Explains cross-section of expected returns.
Floating Rate Note,V_{float}(t_i) = F,Interest Rate Models,Floating rate note value at reset date equals face value F. Coupon reset ensures bond trades near par between reset dates.
Floorlet Price (Black),P = P(0 T_{i-1}) (K Φ(-d_2) - F Φ(-d_1)),Interest Rate Models,Individual floorlet pricing using Black-76 model. Puts on forward interest rates with payoff at end of accrual period.
Forward Rate Dynamics,dr(t) = [∂f(0 t)/∂t + λf(0 t) + η(t)²/λ (1-exp(-λt)) - λr(t)]dt + η(t)dW(t),Interest Rate Models,Short rate dynamics under exponential volatility structure in HJM framework. Markovian reduction of general HJM model.
Forward Swap Rate,S_{m n}(t) = (P(t T_m) - P(t T_n))/∑_{i=m+1}^n τ_i P(t T_i),Interest Rate Models,Par forward swap rate for tenor from T_m to T_n. Equalizes present value of fixed and floating legs at inception.
Forward Variance Model,d(σ_t² × t) = ω_t dt,Interest Rate Models,Forward variance curve dynamics used in volatility derivatives pricing. Variance swap fair strike equals initial forward variance.
G2++ Model Dynamics,r_t = x_t + y_t + φ(t),Interest Rate Models,Two-factor Gaussian interest rate model with mean-reverting factors x_t and y_t plus deterministic shift φ(t) for exact calibration.
Global Floor and Cap,V_{global} = e^{-rT} max(min(∏_{i=1}^n R_i GlobalCap) GlobalFloor),Interest Rate Models,Global risk controls on structured products. Apply to total return across all periods rather than period-by-period.
HJM Drift Condition,μ(t T) = σ(t T) ∫_t^T σ(t u) du,Interest Rate Models,No-arbitrage drift condition in Heath-Jarrow-Morton framework. Forward rate drift completely determined by volatility structure.
Interest Rate Swap PV (Fixed),V_{fixed} = τ ∑_{i=1}^n R_{fixed} P(0 t_i),Interest Rate Models,Present value of fixed leg in interest rate swap. Sum of discounted fixed coupons weighted by day count fractions.
Interest Rate Swap Valuation,V_{swap}(t) = P(t T_0) - P(t T_n) - K ∑_{i=1}^n τ_i P(t T_i),Interest Rate Models,General swap valuation formula. Difference between floating leg (PV of notional exchanges) and fixed leg (PV of fixed coupons).
KVA Capital Valuation,KVA = ∫_0^T h × RC_t × DF(t) dt,Interest Rate Models,Capital valuation adjustment for regulatory capital cost. Integrates cost of holding regulatory capital over trade lifetime.
KVA with Hurdle Rate,KVA = ∫_0^T h(t) × 𝔼[K(t)] dt,Interest Rate Models,Lifetime cost of holding regulatory capital K(t) at hurdle rate h(t). Reflects expensive equity funding for Basel III capital requirements.
LIBOR Market Model,dF_j(t) = μ_j(t) F_j(t) dt + σ_j(t) F_j(t) dW_j(t),Interest Rate Models,Market model for discrete forward LIBOR rates. Each forward rate follows lognormal dynamics with specific drift adjustments.
LMM Dynamics,dL_k(t)/L_k(t) = μ_k(t) dt + σ_k(t) dW_t,Interest Rate Models,Lognormal forward LIBOR model with time-dependent volatility. Standard market model for interest rate derivatives.
LIBOR-in-Arrears,V = N × D(0 T) × [L_0 + σ²L_0²T/(1+L_0 τ)],Interest Rate Models,Convexity adjustment for LIBOR-in-arrears swaps. Payment at period end rather than beginning creates correlation adjustment.
Location Basis (WTI-Brent),Basis = S_t^{WTI} - S_t^{Brent} - Transport,Interest Rate Models,Price differential between commodity locations. Reflects transportation costs and regional supply/demand imbalances.
MBS Key Rate Duration Hedging,ΔV = ∑_{i=1}^K w_i × D_i^{MBS} × Δr_i,Interest Rate Models,Hedging mortgage-backed securities using key rate durations. Decomposes yield curve risk into sensitivity to yield curve points.
MBS Total Return,TR = ∑_{t=1}^T CF_t/P_0 - 1,Interest Rate Models,Total return calculation for mortgage-backed securities including all cash flows relative to initial price.
MBS Key Rate Duration,D_{key} = -(P_+ - P_-)/(2P_0 × Δr_{key}),Interest Rate Models,Effective duration measure for MBS at specific yield curve points. Captures non-parallel yield curve sensitivity.
Payer Swaption Valuation,𝔼^A[max(r_{T_S}(T_S T_E) - K 0)],Interest Rate Models,Risk-neutral expectation for payer swaption payoff. Option to enter swap paying fixed rate K and receiving floating.
Par Swap Rate Formula,r_{PAR} = ∑_{i=1}^n [f_{LIBOR}(0 T_{i-1} T_i) + s] τ_i P_{OIS}(0 T_i)/∑_{i=1}^n τ_i P_{OIS}(0 T_i),Interest Rate Models,Par swap rate with LIBOR-OIS basis adjustment. Reflects post-crisis multi-curve framework for swap pricing.
Cross-Currency Funding Basis,FVA_{CCY} = ∑_i (r_{USD}^{F i} - r_{USD}^{OIS i} - basis_i) × exposure_i × DF_i,Interest Rate Models,Funding valuation adjustment for currency mismatches. Captures additional cost from cross-currency basis spreads.
Zero-Beta Rate Estimation,λ̂_0 = ∑_{i=1}^N (1/β̂_i)(R̄_i - R_f)/∑_{i=1}^N (1/β̂_i²),Interest Rate Models,Estimation of zero-beta rate when market proxy is inefficient. Minimum-distance estimator accounting for proxy inefficiency.
Model Uncertainty Reserve,R_{model} = α × Notional × σ_{model},Interest Rate Models,Capital buffer for model risk uncertainty. Proportional to notional exposure and model volatility estimate.
Swaption Pricing (Normal Model),P_{swaption} = P(0 T_e) (K Φ(-d_2) - S_0 Φ(-d_1)),Interest Rate Models,Normal model for swaption pricing in low/negative rate environments. Assumes normal rather than lognormal distribution of swap rates.
OIS Valuation,V_{OIS} = ∑_{i=1}^n (1/n ∑_{j ∈ period i} r_{oj}) P(0 T_i),Interest Rate Models,Overnight Index Swap valuation using compounded overnight rates. Post-crisis benchmark for risk-free discounting.
Hull-White Bond Price,P(t T) = P(0 T)/P(0 t) exp(-½(V(t T) - V(0 T) + V(0 t)) - M_x(t T)x_t - M_y(t T)y_t),Interest Rate Models,Closed-form bond price solution for Hull-White extended Vasicek model. Time-dependent parameters allow exact fit to initial yield curve.
Prepayment Model Calibration,L(θ) = ∑_{i=1}^K w_i × (Prepayment_i^{model}(θ) - Prepayment_i^{observed})²,Interest Rate Models,Loss function for calibrating prepayment models to historical data. Weighted least-squares minimization for parameter estimation.
Refinancing Incentive Model,CPR_t^{refi} = α × Φ(β × (r_t - WAC_t) + γ × (WAC_t - r_t)_+ + ε_t),Interest Rate Models,Economic prepayment model capturing refinancing incentive and burnout effects. Links prepayment speeds to rate incentives.
Risk Parity Allocation,w_i ∂σ_p/∂w_i = w_j ∂σ_p/∂w_j = σ_p/N,Interest Rate Models,Portfolio construction allocating risk equally across assets rather than capital. Leverages low-volatility assets to achieve balance.
SABR-LMM Hybrid Model,dL_k = α_k L_k^β dW_L dα_k = ν α_k dW_α,Interest Rate Models,Combined model capturing both yield curve dynamics (LMM) and volatility smile (SABR). Essential for exotic interest rate derivatives.
Schwartz One-Factor Model,d(ln S_t) = κ(α - ln S_t) dt + σ dW_t,Interest Rate Models,Mean-reverting commodity price model. Captures supply-demand dynamics pushing prices toward long-run equilibrium level α.
Swap Pricing Formula,V_{payer} = ∑_{i=1}^n τ_i P(0 T_i) (L_i - K),Interest Rate Models,Present value of interest rate swap cash flows. Net present value of difference between floating and fixed legs.
Par Swap Rate,R_{swap} = (1 - P(0 T))/∑_{i=1}^n τ_i P(0 T_i),Interest Rate Models,Par swap rate equating present values of fixed and floating legs. Market rate for zero-value swap at inception.
Swaption Pricing (Bachelier),V_{payer} = A(t)[(S(t) - K)N(d) + σ√{T}N'(d)],Interest Rate Models,Normal model for swaptions in low/negative rate environments. Assumes normal rather than lognormal distribution of swap rates.
Swap Valuation Post-Inception,V_t = NA × (r_{FIX 0} - r_{FIX t}) × ∑_{i=1}^{n'} τ_i P(t T_i),Interest Rate Models,Swap value after inception equals notional times difference between contractual and market rates times annuity factor.
Exponential Volatility Structure,σ(t T) = σ_0 exp(-λ(T-t)),Interest Rate Models,HJM volatility specification generating Hull-White model. Exponential decay captures higher short-term volatility.
Total Return Swap,TRS_{payer} = (S_T - S_0) + Dividends - (L + spread) dt,Interest Rate Models,Synthetic exposure to asset returns without owning underlying. Exchanges total return for floating rate plus spread.
Vasicek Short Rate Model,dr_t = a(b - r_t) dt + σ dW_t,Interest Rate Models,Mean-reverting Gaussian model for short-term interest rates. Ornstein-Uhlenbeck process with long-run mean b and speed a.
HJM Forward Rate Dynamics,df(t T) = α(t T)dt + σ(t T)dW_t^ℚ,Interest Rate Models,General framework for modeling entire forward rate curve evolution. Drift condition ensures arbitrage-free dynamics.
Nelson-Siegel-Svensson Model,y(τ) = β_0 + β_1 (1-e^{-λ_1 τ})/(λ_1 τ) + β_2 ((1-e^{-λ_1 τ})/(λ_1 τ) - e^{-λ_1 τ}) + β_3 ((1-e^{-λ_2 τ})/(λ_2 τ) - e^{-λ_2 τ}),Interest Rate Models,Svensson extension of Nelson-Siegel model with additional curvature factor λ₂ for improved yield curve fitting flexibility. Related to basic Nelson-Siegel model with 3 parameters.
Variance Swap Payoff,N_{var} × (Realized Variance - K_{var}²),Interest Rate Models,Variance swap payoff based on difference between realized and strike variance. Provides pure exposure to volatility.
Realized Variance Calculation,σ_{realized}² = (252/N) ∑_{i=1}^N [ln(S_{t_i}/S_{t_{i-1}})]²,Interest Rate Models,Standard calculation for realized variance from daily returns. Annualized using 252 trading days convention.
Year-on-Year Inflation Swap,Payoff = N × (I_T/I_{T-1} - 1 - K),Interest Rate Models,Inflation swap exchanging fixed rate K for realized annual inflation rate. Path-dependent on inflation index movements.
Zero-Coupon Inflation Swap,Payoff = N × (I_T/I_0 - (1 + K)^T),Interest Rate Models,Zero-coupon inflation swap payoff at maturity. Single payment based on cumulative inflation over entire term.
