Title,Equation,Description,Source
G2++ Model Dynamics,r_t = x_t + y_t + phi(t),"Two-factor Gaussian model capturing slope and curvature. x, y mean-reverting factors. Deterministic shift phi(t) fits initial curve. Correlation between factors.",eq3/minimax-primer/formulas.csv
Risk-Neutral Density (Breeden-Litzenberger),f_S_T(K) = d^2C/dK^2,Second derivative of call prices w.r.t. strike gives risk-neutral density. Breeden-Litzenberger formula provides state-price density directly from market prices. Useful for smile extraction.,eq3/minimax-primer/formulas.csv
Longstaff-Schwartz Algorithm,V_j = max( Exercise_j,Numerical Methods,eq3/minimax-primer/formulas.csv
Calendar Roll Return,RY = ln F(T_2)/F(T_1),"Return from rolling futures from near to far contract. Negative in contango (must buy high), positive in backwardation. Determinant of commodity index returns.",eq3/minimax-primer/formulas.csv
Stochastic Local Volatility,dS_t = sigma_loc(S_t,dsigma_loc = nu(S_t,eq3/minimax-primer/formulas.csv
PCA Risk Factors,\Sigma = V \Lambda V^T,Covariance matrix decomposition into orthogonal factors.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Stoll Spread,S = 2 \gamma \sigma^2 Q,Bid-ask spread as inventory risk compensation.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Untitled Equation,X_t = X_0 + M_t^Q + A_t^Q,,eq3/stochastic_calculus_primer.md
Untitled Equation,M_t = M_0 + ∫₀^t H_s dW_s,,eq3/stochastic_calculus_primer.md
Untitled Equation,dW_t^S dW_t^v = \rho dt,,eq3/heston-dynamics.txt; eq3/equity-derivatives-stochastic-volatility-primer.txt; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part2.md
Untitled Equation,d\sigma = \nu \sigma dZ,,eq3/minimax-primer/comprehensive-formulas.md
**Antithetic Variates:**,S' = 2\mathbb{E}[S] - S,,eq3/minimax-primer/comprehensive-formulas.md
2. Zero-Beta Portfolio (Factor Mimicking Portfolio),\mathbb{E}[R_p] = r_f,,eq3/minimax-primer/comprehensive-formulas.md
Coupon Bond Price (Decomposition),P = sum_{i=1}^n c_i P(t,T_n),eq3/minimax-primer/formulas.csv
Variance Swap Fair Strike,sigma_fair^2 = (1/P(0,T)) int_0^T E^Q[sigma_s^2] ds,eq3/minimax-primer/formulas.csv
Forward CDS,V_forward = V_CDS(T_f,T_e),eq3/minimax-primer/formulas.csv
Cancelable Swap (Callable Swap),V = V_swap - V_swaption,Swap with issuer's call option. Value = swap minus payer swaption. Bermudan features for multiple call dates. Callable at par or make-whole.,eq3/minimax-primer/formulas.csv
Control Variate (Analytical),V = V_MC + beta (C - E[C]),Control variable C with known analytical price. Beta estimated by regression across paths. Variance reduction factor (1 - rho^2). Effective for path-dependent options.,eq3/minimax-primer/formulas.csv
Brownian Motion Second Moment,\mathbb{E}[W_t^2] = t,The quadratic variation property demonstrates that Brownian motion has infinite first variation but finite quadratic variation. This is essential for the development of stochastic integration theory.,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Black's Model (Caplet),Caplet = L \delta_k P(0,Interest Rates,eq3/gemini-primer/gemini_primer.csv
Untitled Equation,S = \sum_{i=1}^{N} X_i,,eq3/gemini-primer/gemini_primer.md
Untitled Equation,"dF = α F^β dW_1
dα = ν α dW_2",,eq3/volatility_modeling_primer.txt
Control Variates:,Y_i = X_i - c*(Z_i - E[Z]),"The optimally controlled estimator where X_i represents the original payoff, Z_i is the control variable with known expectation E[Z], and c* = Cov(X,Z)/Var(Z) is the optimal coefficient minimizing variance. The variance reduction achieved is Var(Y) = Var(X)(1-ρ²), where ρ is the correlation between X and Z. For option pricing, delta-hedging control variates use Z_i = Δ_i(S_{i+1} - S_i e^{rΔt}) with Δ_i being the Black-Scholes delta, achieving correlations above 0.9 for at-the-money options. The method extends to multiple controls via regression: Y = X - β'(Z - E[Z]) where β = Var(Z)^{-1}Cov(Z,X), requiring matrix inversion but providing exponential variance reduction in the number of effective controls.",eq3/monte-carlo-numerical-methods.txt
"Under the risk-neutral measure Q, the asset dynamics transform to:",dV_t = μV_tdt + σV_tdW_t,where r is the constant risk-free rate and W_t^Q is Brownian motion under the risk-neutral measure. This transformation is achieved via Girsanov's theorem with the market price of risk λ = (μ-r)/σ.,eq3/credit_derivatives_structural_models.txt
Compound Rate Relationship,"(1+y)^(T-t) = 1/P(t,T)","This connects annually compounded rates y to discount factors. For different compounding frequencies m times per year: (1+y/m)^(m(T-t)) = 1/P(t,T). As m approaches infinity, this converges to continuous compounding exp(y(T-t)) = 1/P(t,T). The choice of compounding frequency affects quoted rates but not present values when applied consistently.",eq3/fixed_income_primer.txt
MBS Cash Flow Scheduled Principal,SP_t = MP_t - Interest_t,"SP_t represents the scheduled principal payment at time t, calculated as the total mortgage payment MP_t minus the interest portion. For a level-payment mortgage with balance B_{t-1}, WAC_t, and remaining term N-t+1: MP_t = B_{t-1} × WAC_t/12 × (1 + WAC_t/12)^{N-t+1} / [(1 + WAC_t/12)^{N-t+1} - 1]. Interest_t = B_{t-1} × WAC_t/12. The scheduled amortization component is deterministic given the mortgage terms and declines over time as the balance decreases. This forms the baseline cash flow before accounting for prepayments.",eq3/fixed_income_primer.txt
Weighted Average Maturity,WAM = ∑[i=1 to M] w_i × T_i,"WAM represents the weighted average maturity of loans within an MBS pool, calculated as the weighted sum of individual loan maturities T_i with weights w_i proportional to their outstanding balances. WAM measures the time-weighted maturity of the underlying mortgage pool and is disclosed for all agency MBS. As loans prepay, the WAM declines because older loans are removed from the pool. This metric helps investors understand the pool's maturity characteristics and how they evolve through prepayment activity.",eq3/fixed_income_primer.txt
Weighted Average Coupon,WAC = ∑[i=1 to M] w_i × r_i,"WAC represents the weighted average coupon rate of loans within an MBS pool, calculated as the balance-weighted sum of individual mortgage rates r_i. WAC determines the gross interest income of the pool and is a primary determinant of the MBS yield. As loans prepay, the WAC evolves because loans with higher or lower coupons are removed differentially depending on rate environment. Investors earn the net coupon: WAC minus servicing spread minus guarantee fee for agency MBS.",eq3/fixed_income_primer.txt
Negative Convexity Condition,∂^2P/∂y^2 < 0 when WAC > r,"This condition states that MBS exhibits negative convexity when the weighted average coupon exceeds current market rates r. In this regime, the prepayment option is valuable and will be exercised by homeowners when refinancing incentive exists. The negative second derivative arises because price appreciation is capped by prepayment acceleration as rates fall, while price losses are uncapped as prepayments slow when rates rise. The magnitude of negative convexity depends on the prepayment speed sensitivity to rate changes and the option value embedded in the pool.",eq3/fixed_income_primer.txt
I-Spread (Interpolated Spread),I = y_bond - y_benchmark,Spread to specific benchmark curve. Point-in-time comparison. Used for relative value analysis. Not curve-dependent.,eq3/minimax-primer/formulas.csv
Credit Spread Duration,D_spread = - (1/P) dP/ds,Sensitivity to credit spread changes. Used for credit risky bonds. Separate from interest rate sensitivity. Combines with OAS for total risk.,eq3/minimax-primer/formulas.csv
Unknown,dW_t \cdot dZ_t = \rho dt,This represents the correlation between the Brownian motions driving the forward price and volatility in the SABR model.,eq3/iflow-model-primer/derivatives-primer.csv
Black-Scholes Delta (Call),\Delta_{call} = N(d_1),Sensitivity of option price to underlying price changes.,eq3/gemini-primer/gemini_primer.csv
ZCIS Payoff,N [ (I_T/I_0) - (1 + K)^T ],Zero-coupon inflation swap payoff at maturity.,eq3/gemini-primer/gemini_primer.csv
NSFR,NSFR = ASF / RSF \ge 100\%,Net stable funding ratio requirement.,eq3/gemini-primer/gemini_primer.csv
Principal Protected Note,PPN_0 = P(0 T) + C(S_0 K T),Zero-coupon bond plus call option.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Single Monthly Mortality (SMM),SMM = 1 - (1 - CPR)^{1/12},"SMM_t represents the Single Monthly Mortality rate, which is the conditional probability that a given mortgage will be prepaid during month t. The relationship derives SMM from CPR by solving for the monthly rate that compounds to the annual CPR. SMM ranges from 0 to 1 and is typically expressed as a percentage. For practical MBS valuation, SMM is applied to the outstanding principal balance at the beginning of each month: Prepayment_t = SMM_t × Balance_{t-1} × (1 - SMM_t/2), where the factor (1 - SMM_t/2) represents the average balance during the month.",eq3/gemini-primer/gemini_primer.md; eq3/fixed_income_primer.txt
Untitled Equation,P \cdot \ddot{a}_x = A_x,,eq3/gemini-primer/gemini_primer.md
Untitled Equation,where ρ_{ii} = 1 for all i.,,eq3/exotic-options-basket-rainbow.txt
Liquidity-Adjusted VaR,L_VaR = VaR + LC * Position,VaR with liquidity cost adjustment. LC = bid-ask spread x position. Reflects market impact of liquidation. Dynamic liquidity adjustment.,eq3/minimax-primer/formulas.csv
Carbon Intensity (Scope 3),CI = sum Activity_i * EF_i,Life cycle emissions per unit output. Supply chain emissions. Used in carbon accounting and offsetting. Green premium calculation.,eq3/minimax-primer/formulas.csv
Infeasible NBRLS Estimator,hat beta = (X'X)^{-1} X'Y,Non-parametric regression for SDF. Beta = covariance of payoffs with SDF divided by variance. Moment conditions from pricing equation. Basis for factor model estimation.,eq3/minimax-primer/formulas.csv
SDE Integral Form,X_t = X_0 + \int_0^t \mu(s,X_s)dW_s,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Chooser Option,V_{chooser} = max(C(S_t,T-t),eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Realized Volatility,RV_t = \sum_{i=1}^m r_{t,Volatility Modeling,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Portfolio Variance,\sigma_P^2 = w^T \Sigma w,Matrix form of portfolio risk aggregation.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Kyle's Lambda,\Delta P = \lambda \cdot Q,Linear price impact measure.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Basel RWA,RWA = \sum w_i \cdot EAD_i,Risk-weighted assets (standardized approach).,eq3/gemini-primer/gemini_primer.csv
Real Option to Delay,F(V) = A V^\beta for V < V^*,McDonald-Siegel option to wait to invest.,eq3/gemini-primer/gemini_primer.csv
Untitled Equation,"Corr(V_t, \lambda_t) > 0",,eq3/gemini-primer/gemini_primer.md
"For local martingales, the stochastic exponential (Doléans-Dade exponential) is defined as:",ε(X)_t = exp{X_t - ½[X]_t},This process satisfies the stochastic differential equation:,eq3/stochastic_calculus_primer.md
"The volatility structure σ(t,T) is central to the HJM framework. For implementation, common specifications include:","σ(t,T) = σ_0 exp(-λ(T-t))","This exponential volatility structure generates the Hull-White model, where σ_0 > 0 controls overall volatility level and λ > 0 determines the rate of decay with maturity. The parameter λ captures the empirical observation that short-term forward rates exhibit higher volatility than long-term rates.",eq3/hjm-framework.txt
Untitled Equation,"N_{j,t} = N_j - Loss_{j,t}",,eq3/cdo-tranching-valuation-primer.md
Conditional Prepayment Rate (CPR),CPR_t = 1 - (1 - SMM_t)^{12},"CPR_t represents the Conditional Prepayment Rate at time t, defined as the annualized prepayment rate. SMM_t is the Single Monthly Mortality rate for month t. The relationship converts monthly prepayment probability to an annual rate by compounding monthly survival rates. CPR measures the percentage of outstanding mortgage principal that will be prepaid during a given year assuming prepayment behavior remains constant. This is the standard industry convention for quoting prepayment speeds in MBS markets.",eq3/fixed_income_primer.txt
MBS Total Return,TR = ∑[t=1 to T] CF_t / P_0 - 1,"TR represents the total return of holding MBS from purchase to horizon T, where CF_t includes all interest, principal, and reinvestment income. P_0 is the initial purchase price. This ex-post measure captures realized performance including return from price changes if sold before maturity. Total return differs from yield because it incorporates actual prepayment experience versus model assumptions and realized reinvestment rates. For performance attribution, total return can be decomposed into income return, price return, and roll-down return components.",eq3/fixed_income_primer.txt
4. Two-Factor Gaussian Model (G2++),r_t = x_t + y_t + \varphi(t),,eq3/minimax-primer/comprehensive-formulas.md; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part.md
1. Forward Price with Storage and Convenience Yield,F_0(T) = S_0 e^{(r + u - y)T},"**Variables:** - S_0: Spot commodity price - r: Risk-free interest rate (cost of financing) - u: Storage cost (annualized, proportional to value) - y: Convenience yield (benefit of physical ownership) - T: Time to delivery",eq3/minimax-primer/comprehensive-formulas.md
Martingale Representation Theorem,M_t = M_0 + int_0^t H_s dW_s,Every martingale can be represented as stochastic integral with respect to Brownian motion. Unique integrand H_t. Foundation of hedging in complete markets.,eq3/minimax-primer/formulas.csv
FX Forward Points,Points = S_0 * (r_d - r_f) * T,Forward premium/discount. Points = F - S. Quoted as pips. Basis from CIP deviation.,eq3/minimax-primer/formulas.csv
Strangle (Risk Reversal + Butterfly),sigma_strangle = RR/2 + BF,Out-of-the-money vol. Combination of skew and curvature. Used for delta-neutral vol quotes.,eq3/minimax-primer/formulas.csv
Vega,\nu = S\sqrt{T-t}N'(d_1),Vega measures sensitivity to changes in implied volatility. Identical for calls and puts with matching parameters. | Sensitivity to volatility (not a true Greek but market convention).,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv; eq3/gemini-primer/gemini_primer.csv
Basket Option,G_T = (\prod S_i^T)^{1/n},Geometric basket option (tractable).,eq3/gemini-primer/gemini_primer.csv
The risk-neutral default probability under Merton's framework is:,PD^Q = Q(V_T < K) = N(-d_2^Q),where d_2^Q uses the risk-neutral drift r instead of μ. The physical default probability differs:,eq3/credit_derivatives_structural_models.txt
Untitled Equation,PD^P = P(V_T < K) = N(-d_2^P),,eq3/credit_derivatives_structural_models.txt
Untitled Equation,X_i = √{ρ_i} Z + √{1-ρ_i} ε_i,,eq3/cdo-tranching-valuation-primer.md
**Continuous Compounding Approximation (Constant Rate Case):**,"P(t,T) = e^{-y(t,T)(T-t)}","**Variables:** - y(t,T): Continuously compounded yield to maturity (annualized) - T-t: Time to maturity in years | **Variables:** - \(y(t,T)\): Continuously compounded yield to maturity | See markdown for detailed variables and explanation | Automatically extracted equation",eq3/minimax-primer/comprehensive-formulas.md; eq3/iflow-primer/formulas_v2.csv; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part.md; eq3/iflow-primer/formulas_clean.csv; eq3/iflow-primer/formulas.csv
Black-Cox First Passage,tau = inf{ t >= 0: V_t <= K(t) },Default can occur anytime before maturity when assets hit barrier K(t). Time-dependent barrier (often exponential decay). Captures early default dynamics.,eq3/minimax-primer/formulas.csv
Cost of Carry (Commodities),F_0(T) = S_0 exp((r + u - y)T),"Futures price = spot x cost of carry. r: financing, u: storage, y: convenience yield. Backwardation: F < S (high y). Contango: F > S (low y).",eq3/minimax-primer/formulas.csv
Negative Carry,Carry = r_asset - r_funding,Cost of funding assets. Funding spread over benchmark. Negative carry increases required spread. Spread compression risk.,eq3/minimax-primer/formulas.csv
CMS Spread Option,CMS Spread = max(S_A - S_B - K,Interest Rate Derivatives,eq3/minimax-primer/formulas.csv
Science-Based Target (SBT),Reduction = 1 - (1 - gamma)^T,Required emissions reduction. gamma from IPCC scenarios. T years to target. Absolute vs intensity-based targets.,eq3/minimax-primer/formulas.csv
Merton Model,A_T = V_T\quad D_T = min(V_T,0),eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Unknown,J_t = \sum_{i=1}^{N_t} Y_i,"Where N_t is a Poisson process with intensity \lambda and Y_i are i.i.d. random variables representing jump sizes, typically assumed to follow a normal distribution.",eq3/iflow-model-primer/derivatives-primer.csv
Glosten-Milgrom,A - B = 2 \alpha (V_H - V_L) \pi,Adverse selection spread due to information asymmetry.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
VWAP,VWAP = \sum P_i V_i / \sum V_i,Volume weighted average price benchmark.,eq3/gemini-primer/gemini_primer.csv
Modified Duration,D_{Mod} = D_{Mac} / (1 + y/m),Price sensitivity to yield changes.,eq3/gemini-primer/gemini_primer.csv
VPIN,VPIN = \sum |V_B - V_S| / (n V),Order flow toxicity measure.,eq3/gemini-primer/gemini_primer.csv
Crypto Basis,y = (F - S)/S \cdot 365/(T-t),Annualized basis for cash-and-carry.,eq3/gemini-primer/gemini_primer.csv
Grover Arbitrage,N_{queries} = O(\sqrt{N}),Quadratic speedup for arbitrage search.,eq3/gemini-primer/gemini_primer.csv
Untitled Equation,y_t = \alpha + \beta x_t + u_t,,eq3/gemini-primer/gemini_primer.md
Untitled Equation,"**Price:**
P = \frac{y}{x}",,eq3/gemini-primer/gemini_primer.md
Untitled Equation,"[X,Y]_t = ∫₀^t σ_s^X σ_s^Y ds",,eq3/stochastic_calculus_primer.md
Untitled Equation,dW_t^F dW_t^\alpha = \rho dt,,eq3/equity-derivatives-stochastic-volatility-primer.txt; eq3/sabr-model.txt; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part2.md
