Charm (Delta Bleed),Charm = ∂²V/∂t∂S = -∂Δ/∂t = -∂Θ/∂S,Option Pricing,Charm measures how fast delta decays over time, critical for dynamic hedging strategies and determining rebalancing frequency in delta-neutral portfolios. **Mathematical Foundation**: As a third-order Greek, Charm = ∂Charm/∂S = ∂³V/∂t∂S² = -∂²Δ/∂t∂S. For calls: Charm = -[φ(d₁)σ/(2√τ)] × [d₂/r + 1 - (S/K)Φ(d₁)/r + d₁φ(d₁)/(σ√τ)]. **Key Assumptions**: Black-Scholes framework, small time changes, continuous hedging. **Practical Applications**: Delta hedging frequency optimization, gamma scalping strategies, risk management for option portfolios, algorithmic trading systems. **Limitations**: Higher-order effects may dominate for large moves; assumes Black-Scholes dynamics. **Implementation**: Analytical formula or numerical differentiation; typically small magnitude but accumulates over time. **Related Concepts**: DvegaDtime measures volatility decay; higher-order Greeks become important for short-dated options.
Delta Hedge Ratio,Δ_C = ∂C/∂S = e^{-q(T-t)} Φ(d_1),Option Pricing,Delta measures the rate of change of option price with respect to underlying price, representing the optimal hedge ratio for maintaining delta-neutral positions. **Mathematical Foundation**: ∂C/∂S = e^{-qτ} Φ(d₁) for calls, where d₁ = [ln(S/K) + (r - q + σ²/2)τ]/(σ√τ). Delta ranges from 0 to 1 for calls (near-the-money ≈ 0.5), 0 to -1 for puts. **Key Assumptions**: Black-Scholes model, continuous rebalancing, frictionless markets. **Practical Applications**: Dynamic hedging, delta-neutral strategies, market making, risk management, convertible bond arbitrage. **Limitations**: Discrete hedging introduces gamma risk; model risk from volatility assumptions. **Implementation**: Real-time calculation requires current volatility estimates; gamma affects hedge effectiveness. **Related Concepts**: Elasticity = (∂C/∂S)(S/C) measures percentage sensitivity; lambda = delta × (S/C) shows leverage.
Margrabe Exchange Option Formula,V(S¹_t S²_t T) = S¹_t e^{-q_1(T-t)} Φ(d_1) - S²_t e^{-q_2(T-t)} Φ(d_2),Option Pricing,The Margrabe formula prices options to exchange one asset for another, fundamental to real options and corporate finance applications. **Mathematical Foundation**: Treats the ratio S¹/S² as the underlying with volatility √(σ₁² + σ²₂ - 2ρσ₁σ₂). d₁ = [ln(S¹/S²) + (q₂ - q₁ + σ_ratio²/2)τ]/(σ_ratio√τ). **Key Assumptions**: Geometric Brownian motion for both assets, constant correlation, no arbitrage. **Practical Applications**: Real options for investment decisions, merger arbitrage, natural resource valuation, R&D project choices. **Limitations**: Assumes constant correlation; discrete exercise requires numerical methods. **Implementation**: Requires correlation estimation; simplifies to Black-Scholes when one asset is risk-free. **Related Concepts**: Exchange options fundamental to real options theory; quanto adjustments for currency effects.
Explicit Finite Difference Scheme,V_i^{j+1} = α_i V_{i-1}^j + β_i V_i^j + γ_i V_{i+1}^j,Option Pricing,First-order explicit finite difference method for solving the Black-Scholes PDE, simple but conditionally stable requiring small time steps. **Mathematical Foundation**: Discretizes ∂V/∂t + ½σ²S²∂²V/∂S² + rS∂V/∂S - rV = 0 using forward Euler in time, central differences in space. Stability requires Δt ≤ (ΔS)²/(σ²S²) for convergence. **Key Assumptions**: Uniform grid, constant coefficients, linear boundary conditions. **Practical Applications**: Educational tool for PDE methods, simple option pricing, prototyping before implicit methods. **Limitations**: CFL condition limits time step size; inefficient for production use due to stability constraints. **Implementation**: Tridiagonal matrix solution; boundary conditions V(0,t) = 0, V(S_max,t) = S_max - K e^{-rτ}. **Related Concepts**: Implicit schemes (Crank-Nicolson) more stable; ADI methods for multi-dimensional problems.
G2++ Two-Factor Bond Price,P(t T) = P(0 T)/P(0 t) exp(-½(V(t T) - V(0 T) + V(0 t)) - M_x(t T)x_t - M_y(t T)y_t),Option Pricing,Closed-form bond price formula for the G2++ two-factor Gaussian interest rate model, enabling efficient pricing of complex interest rate derivatives. **Mathematical Foundation**: Affine term structure with factors x_t, y_t following correlated Gaussian processes. The price P(t T) = exp(A(t T) - B_x(t T)x_t - B_y(t T)y_t) where A, B_x, B_y satisfy Riccati equations. **Key Assumptions**: Gaussian factors, constant correlations, mean reversion, time-dependent volatility. **Practical Applications**: Interest rate swaption pricing, CMS valuation, Bermudan swaption pricing, yield curve modeling. **Limitations**: Gaussian distribution allows negative rates; calibration requires many parameters. **Implementation**: Numerical solution of Riccati equations; Fourier methods for swaption pricing. **Related Concepts**: One-factor Hull-White model; quadratic Gaussian models for positivity.
Gap Option Pricing,C_{gap} = S_t e^{-q(T-t)} Φ(d_1) - K_2 e^{-r(T-t)} Φ(d_2),Option Pricing,Gap options have different trigger levels for the underlying (K₁) and payoff strike (K₂), creating binary-like behavior when K₁ ≠ K₂. **Mathematical Foundation**: Priced using Black-Scholes with modified strike: when K₁ > K₂, behaves like a call with enhanced payoff; when K₁ < K₂, reduced payoff. d₁ = [ln(S_t/K₁) + (r - q + σ²/2)τ]/(σ√τ). **Key Assumptions**: Standard Black-Scholes assumptions, European exercise, single trigger level. **Practical Applications**: Structured products with conditional payoffs, corporate finance for contingent claims, exotic option strategies. **Limitations**: Market illiquidity due to customization; model risk from trigger sensitivity. **Implementation**: Standard Black-Scholes calculation with adjusted strike parameter. **Related Concepts**: Cash-or-nothing options when payoff is fixed amount; barrier options with payoff modification.
Hull-White Bond Price Formula,P(t T) = P(0 T)/P(0 t) exp(B(t T)f(0 t) - σ²B(t T)²(1-e^{-2κt})/(4κ) - B(t T)r_t),Option Pricing,Bond price formula for Hull-White extended Vasicek model, allowing exact calibration to observed yield curves. **Mathematical Foundation**: The model dr = (θ(t) - κr)dt + σdW has time-dependent drift θ(t) chosen to match initial term structure. Bond price P(t T) = exp(A(t T) - B(t T)r_t) with A(t T) = ∫_t^T [B(s T)θ(s) - σ²B(s T)²/(2κ)]ds. **Key Assumptions**: Mean-reverting Gaussian process, constant volatility, time-dependent drift, arbitrage-free dynamics. **Practical Applications**: Interest rate derivative pricing, yield curve modeling, risk management, model calibration. **Limitations**: Allows negative rates; constant volatility may not fit empirical data. **Implementation**: Numerical integration for A(t T), analytical B(t T) = (1 - e^{-κ(T-t)})/κ. **Related Concepts**: Vasicek model with constant θ; Black-Karasinski lognormal model for positivity.
Lookback Option Pricing (Floating Strike),C_{floating} = S_t e^{-q(T-t)} Φ(a_1) - m_t e^{-r(T-t)} Φ(a_2) + additional terms,Option Pricing,Floating strike lookback options pay based on the difference between final price and minimum price achieved during the option life, capturing path-dependent extrema. **Mathematical Foundation**: The payoff max(S_T - m_t, 0) where m_t = min_{u∈[0,t]} S_u. Pricing involves joint distribution of (S_T, m_t) following reflection principle. The formula requires additional terms for the minimum process. **Key Assumptions**: Continuous monitoring, geometric Brownian motion, no transaction costs. **Practical Applications**: Equity-linked structured products, commodity options with price extremes, risk management for assets with significant volatility. **Limitations**: Complex implementation due to path dependency; discrete monitoring requires Monte Carlo methods. **Implementation**: Requires specialized PDE solvers or Monte Carlo with Brownian bridge; analytical formulas exist but are complex. **Related Concepts**: Fixed strike lookbacks pay (S_T - K)+ where K is the maximum/minimum; partial lookbacks for time windows.
Compound Option Pricing,C_{compound} = S_t e^{-qT_2} M(a_1 b_1;√{T_1/T_2}) - K_2 e^{-rT_2} M(a_2 b_2;√{T_1/T_2}) - e^{-rT_1} K_1 Φ(a_2),Option Pricing,Options on options require modeling two exercise decisions, using bivariate normal distributions to capture the correlation between the two exercise dates. **Mathematical Foundation**: A call on a call requires pricing C = e^{-rT_2} 𝔼[ max(C_1(T_1) - K_2, 0) ] where C_1(T_1) is the value of the underlying option at first exercise. Uses bivariate normal CDF M(x,y;ρ). **Key Assumptions**: Two exercise dates, Black-Scholes dynamics, constant correlation between exercise decisions. **Practical Applications**: Sequential investment decisions, R&D project valuation, natural resource exploration, corporate investment timing. **Limitations**: Calibration requires two volatility estimates; market illiquidity makes hedging difficult. **Implementation**: Bivariate normal CDF computation; Geske-Johnson approximation for faster calculation. **Related Concepts**: Real options analysis; chooser options for exercise timing flexibility.
Rainbow Option Pricing (Best/Worst of Two Assets),C_{max} = S¹_t e^{-q_1(T-t)} Φ(d_{11}) + S²_t e^{-q_2(T-t)} Φ(d_{22}) - K e^{-r(T-t)} M(d_{11}-σ_1√{T-t} d_{22}-σ_2√{T-t}; ρ),Option Pricing,Rainbow options pay based on the better (or worse) performing of two underlying assets, requiring bivariate normal distributions to handle correlation effects. **Mathematical Foundation**: For maximum of two assets: C_max = C₁ + C₂ - C_spread where C_spread accounts for correlation. Uses bivariate normal CDF M(x,y;ρ) with arguments involving individual d values. **Key Assumptions**: Joint lognormal distribution, constant correlation, Black-Scholes dynamics for both assets. **Practical Applications**: Multi-asset structured products, portfolio insurance, correlation trading, best-of equity baskets. **Limitations**: Requires correlation estimation; model risk from correlation assumptions. **Implementation**: Numerical bivariate normal CDF; can be extended to N assets but complexity increases. **Related Concepts**: Worst-of options for protection; quanto adjustments for cross-currency rainbows.
Reset Date Valuation,P(t) = ∑_{i=1}^n 𝔼^ℚ[L(T_{i-1} T_i) δ_i e^{-∫_t^{T_i} r_s ds}|ℱ_t] + 𝔼^ℚ[e^{-∫_t^{T_n} r_s ds}|ℱ_t],Option Pricing,Floating rate note valuation at reset dates requires forecasting future LIBOR rates and discounting under the appropriate measure, capturing the time value of reset features. **Mathematical Foundation**: The value equals discounted expectation of future coupon payments plus principal. Under risk-neutral measure, 𝔼^ℚ[L(T_{i-1} T_i)] = L(t T_{i-1}) for LIBOR indices. **Key Assumptions**: LIBOR Market Model dynamics, deterministic day count conventions, no counterparty risk. **Practical Applications**: FRN pricing and hedging, structured note valuation, interest rate risk management. **Limitations**: Model risk from interest rate model assumptions; basis risk between LIBOR and OIS. **Implementation**: Requires LIBOR forward curve and volatility structure; Monte Carlo or analytical approximations. **Related Concepts**: CMS notes with constant maturity spreads; inverse FRNs with leveraged coupons.
Rho Interest Rate Sensitivity,ρ_C = ∂C/∂r = K(T-t) e^{-r(T-t)} Φ(d_2),Option Pricing,Rho measures option price sensitivity to changes in the risk-free interest rate, important for managing interest rate risk in option portfolios. **Mathematical Foundation**: ∂C/∂r = Kτ e^{-rτ} Φ(d₂) for calls, where τ = T-t. Positive for calls (higher rates increase call value through discounting), negative for puts. **Key Assumptions**: Black-Scholes model, parallel yield curve shifts, European options. **Practical Applications**: Interest rate hedging, portfolio immunization, risk management for options on interest-rate sensitive assets. **Limitations**: Assumes parallel yield curve shifts; key rate duration more realistic for non-parallel moves. **Implementation**: Analytical formula or numerical differentiation; typically small for short-term options. **Related Concepts**: Bond duration measures similar interest rate sensitivity; rho increases with time to expiration.
SABR Volatility Smile Model,σ_{BS}(K) = α/(FK)^{(1-β)/2} × z/x(z) × [1 + adjustment terms],Option Pricing,The SABR (Stochastic Alpha Beta Rho) model provides market-standard volatility smile calibration, capturing the volatility surface with four intuitive parameters. **Mathematical Foundation**: dF = α F^β dW₁, dα = ν α dW₂ with correlation ρ. The implied Black volatility σ_BS(K) has asymptotic behavior: ATM slope controlled by ρ, ATM curvature by ν, wings by β. **Key Assumptions**: Log-normal volatility process, power-law forward rate dependence, constant correlation. **Practical Applications**: Interest rate derivative pricing, swaption volatility surfaces, FX option smiles, model calibration and risk management. **Limitations**: Requires numerical solution for implied volatility; boundary issues for extreme parameters. **Implementation**: Hagan et al. approximation for speed; PDE methods for exact pricing. **Related Concepts**: CEV model special case; LSV models for more flexibility.
Spread Options (Kirk Approximation),C ≈ e^{-r(T-t)} (F_1 Φ(d_1) - (F_2 + K) Φ(d_2)),Option Pricing,Kirk's approximation for European spread options treats the spread as lognormal with adjusted volatility, providing fast valuation for energy and commodity derivatives. **Mathematical Foundation**: The spread F₁ - F₂ is approximated as lognormal with volatility σ_spread = √(σ₁² + σ₂² - 2ρσ₁σ₂). The approximation C ≈ e^{-rτ} [F₁ Φ(d₁) - (F₂ + K) Φ(d₂)] adjusts the strike for the second asset. **Key Assumptions**: Joint lognormal distribution, constant correlation, European exercise. **Practical Applications**: Crack spreads in energy markets, location spreads for commodities, FX cross pairs, calendar spreads. **Limitations**: Approximation accuracy decreases with high correlation and large spreads; Monte Carlo preferred for precision. **Implementation**: Requires correlation estimation; simple extension of Black-76 formula. **Related Concepts**: Margrabe formula for exchange options; Bjerksund-Stensland for American spread options.
Theta Time Decay,Θ_C = -∂C/∂t = -(S e^{-q(T-t)} σ φ(d_1))/(2√{T-t}) + qS e^{-q(T-t)} Φ(d_1) - rK e^{-r(T-t)} Φ(d_2),Option Pricing,Theta measures the rate of time decay of option value, critical for understanding option timing and position management strategies. **Mathematical Foundation**: Θ = -∂C/∂t consists of three terms: time value decay from volatility (-σφ(d₁)S e^{-qτ}/(2√τ)), dividend adjustment (qS e^{-qτ} Φ(d₁)), and interest adjustment (-rK e^{-rτ} Φ(d₂)). **Key Assumptions**: Black-Scholes dynamics, small time changes, continuous monitoring. **Practical Applications**: Option strategy timing, portfolio rebalancing, risk management, theta scalping strategies. **Limitations**: Higher-order effects for large time changes; assumes model accuracy. **Implementation**: Analytical formula or numerical differentiation; theta increases as expiration approaches. **Related Concepts**: Omega = delta × (S/C) measures elasticity; charm measures delta decay rate.
Vanna Cross Sensitivity,Vanna = ∂²V/∂S∂σ = -d_1 φ(d_1)/σ,Option Pricing,Vanna measures the sensitivity of delta to changes in volatility, important for volatility trading and dynamic hedging in stochastic volatility environments. **Mathematical Foundation**: As a cross-Greek, Vanna = ∂Δ/∂σ = ∂Vega/∂S = -d₁ φ(d₁)/σ where φ(d₁) is the standard normal density. Typically negative for options, meaning delta decreases as volatility increases. **Key Assumptions**: Black-Scholes framework, small parameter changes, continuous hedging. **Practical Applications**: Volatility arbitrage, delta-hedging in stochastic volatility models, risk management for volatility-sensitive portfolios. **Limitations**: Cross-effects may be significant in extreme market conditions. **Implementation**: Analytical formula; magnitude depends on moneyness and time to expiration. **Related Concepts**: Volga measures vega convexity; higher-order Greeks for model validation.
