Title,Equation,Main_Category,Notes
Lognormal Jump Size Distribution,ln J_t ~ N(μ_J σ_J²) ̄μ = e^{μ_J + σ_J²/2} - 1,Stochastic Calculus,The lognormal jump size distribution is a fundamental component of Merton's (1976) jump-diffusion model for asset pricing. **Mathematical Foundation**: The jump size J_t follows a lognormal distribution, meaning ln J_t ~ N(μ_J, σ_J²). The expected jump size ̄μ = E[J_t] = e^{μ_J + σ_J²/2} - 1 derives from the moment-generating property of lognormal distributions, where the mean of a lognormal random variable X = e^Y with Y ~ N(μ,σ²) is E[X] = e^{μ + σ²/2}. This formulation ensures jump sizes are always positive and can capture large market movements while maintaining analytical tractability. **Theoretical Basis**: In the Merton model, asset returns follow dS/S = (r - λ̄μ)dt + σdW + (J-1)dN, where λ is jump intensity and N is a Poisson process. The lognormal specification allows for fat-tailed return distributions that better match empirical observations than pure diffusion models. The drift adjustment (r - λ̄μ) compensates for the expected jump impact to maintain risk-neutral pricing. **Key Assumptions**: Jump sizes are independent of the diffusion process and occur at Poisson arrival times. All jumps are multiplicative (percentage changes) rather than additive. The model assumes constant parameters and ignores stochastic volatility-jump interactions. **Limitations**: Underestimates extreme tail events (jumps are too small); cannot capture time-varying jump intensity or volatility smiles in implied volatility surfaces; assumes jumps are uncorrelated with diffusion volatility, which empirical evidence suggests may not hold. **Practical Applications**: Used in volatility modeling for equity indices and individual stocks to capture crash risk; essential for pricing exotic options with barrier or lookback features that are sensitive to large moves; employed in risk management for Value-at-Risk calculations under extreme market conditions; forms basis for more advanced models like Bates (1996) stochastic volatility with jumps. **Related Concepts**: Extends to compound Poisson processes with lognormal jumps; foundation for Lévy process models including Variance Gamma and Normal Inverse Gaussian; connects to catastrophe modeling in insurance where jump sizes represent large loss events; generalizes to time-changed Lévy processes in models like Carr-Wu finite activity approximations. **Implementation Considerations**: Parameters (μ_J, σ_J², λ) estimated via maximum likelihood using historical return data with filtering to identify jump components; numerical methods like Fast Fourier Transform accelerate option pricing when analytical solutions exist; calibration challenges arise from identifiability issues between diffusion and jump parameters; Monte Carlo simulation requires careful discretization of jump times to avoid bias in path-dependent options.
Joint Default Probability,P(τ_i ≤ t for all i ∈ S) = Φ_S({Φ^{-1}(1 - e^{-h_i t})}_{i∈S};{√{ρ_i ρ_j}}_{i j∈S}),Credit Models,Probability of joint default for a set of obligors using Gaussian copula framework. Correlation structure captured through systematic factor.
Fourier Transform Option Pricing,C(K) = S_0 - e^{-rT}K/π ∫_0^∞ Re[e^{-iuk} φ(u - i/2)] / (u² + 1/4) du,Option Pricing,Option pricing via Fourier transform methods when characteristic function φ(u) is known. Efficient for models with closed-form characteristic functions.
Tranche Spread Valuation,s_{A D} N_0 (D - A) ∫_0^T 𝔼[e^{-∫_0^t r_s ds}] dt = N_0 ∫_0^T 𝔼[e^{-∫_0^t r_s ds} dL_t^{(A D)}],Credit Models,Equilibrium condition equating premium leg to protection leg for CDO tranche. Fundamental pricing relationship for synthetic CDOs.
Optimal Storage Valuation,V = max_{q_i ∈ [q_{min} q_{max}]} 𝔼^ℚ[∑_{i=1}^N e^{-r t_i} q_i (S_{t_i} - K)],Commodities,Optimal valuation of commodity storage facilities. Maximizes expected discounted cash flows from storage operations under constraints.
CGMY Process Characteristic,ν(dx) = C e^{-G|x|}/|x|^{1+Y} dx_{x<0} + C e^{-Mx}/x^{1+Y} dx_{x>0},Stochastic Calculus,CGMY Lévy process characteristic function component. Generalizes variance gamma model with four parameters controlling jump behavior.
Second Tranche Spread,s^{(2)}_{A^{(2)} D^{(2)}} = 𝔼[∫_0^T e^{-rt} dEL_t^{(2)}]/[∫_0^T e^{-rt} dt N_0^{(2)} (D^{(2)} - A^{(2)})],Credit Models,Pricing formula for second-loss tranche in CDO structure. Similar to first-loss but with different attachment/detachment points.
Heston Characteristic Function,φ(u) = 𝔼[e^{iu ln(S_T)}] = exp(iu ln(S_0) + iu(r - σ²/2 - λκ)T - u²σ²T/2 + λT(e^{iuμ_J - u²δ²/2} - 1)),Option Pricing,Characteristic function for Heston stochastic volatility model with jumps. Enables Fourier-based option pricing methods. Also expressed in affine form: φ(u t v) = 𝔼^ℚ[e^{iu ln S_T}|v_t = v] = e^{C(t) + D(t)v + iu ln S_t} where C(t) and D(t) satisfy Riccati equations.
CDS Par Spread,s = (1-R) ∫_0^T P(0 t) λ(t) e^{-∫_0^t λ(u)du} dt / ∫_0^T P(0 t) e^{-∫_0^t λ(u)du} dt,Credit Models,Par spread for credit default swap equating premium leg to protection leg. Expresses credit spread in terms of hazard rate and discount factors. Alternative notation: S = (1-R) ∫ e^{-rt} Q(t) λ(t) dt / ∫ e^{-rt} Q(t) dt where Q(t) represents survival probability.
Basket Moment Matching,For moment matching to lognormal: 𝔼[S_T^Basket] = e^{μ + σ²/2} and 𝔼[(S_T^Basket)²] = e^{2μ + 2σ²},Option Pricing,Moment matching approximation for basket options. Matches first two moments of basket to equivalent lognormal distribution for pricing.
Discount Factor Relationships,DF(t T) = P(t T) = 1/(1+y(T-t))^{T-t} = exp(-r(T-t)),Fixed Income,Equivalence between discount factors bond prices and different compounding conventions. Fundamental relationship in fixed income mathematics.
Fokker-Planck Equation,∂p/∂t = -∂/∂S[(r-q)Sp] + ½∂²/∂S²[σ_{LV}² S² p],Stochastic Calculus,The Fokker-Planck equation represents the forward Kolmogorov equation for the evolution of probability density in diffusion processes, particularly under local volatility dynamics. **Mathematical Foundation**: Derived from Itô's lemma applied to the stochastic differential equation dS = (r-q)S dt + σ_LV(S,t) S dW, where σ_LV(S,t) is the deterministic local volatility function. The equation ∂p/∂t = -∂/∂S[μ(S,t)p] + ½∂²/∂S²[σ²(S,t)p] describes how probability mass flows through state space, with the drift term -(r-q)S representing the risk-neutral drift and the diffusion term ½σ_LV²(S,t)S² representing volatility-induced spreading. **Theoretical Basis**: As the forward Kolmogorov equation, it governs the time evolution of the transition density p(S,t|S₀,t₀), satisfying the Chapman-Kolmogorov equation and providing the foundation for Dupire's local volatility formula. **Key Assumptions**: Local volatility is a deterministic function of spot price S and time t; the process is Markovian with continuous paths; no jumps or discontinuities; complete markets under risk-neutral measure; twice continuously differentiable coefficients. **Limitations**: Assumes deterministic volatility (inconsistent with observed stochastic volatility in markets); numerical instability in Dupire's equation inversion; potential arbitrage opportunities if calibrated volatility violates no-arbitrage constraints; breaks down near maturity or extreme strikes; limited applicability to multi-asset or jump-diffusion models. **Practical Applications in Finance**: Central to local volatility modeling for reproducing observed implied volatility surfaces; enables calibration of option pricing models to market data; used in exotic option pricing where Black-Scholes assumptions fail; supports risk management through scenario analysis of probability distributions; facilitates model validation by comparing theoretical vs market-implied densities; enables volatility surface interpolation for unquoted strikes/maturity combinations. **Trading Strategies**: Local volatility models help identify mispriced options by comparing model prices with market quotes; support volatility arbitrage strategies; enable delta-hedging of complex derivatives; facilitate the pricing and hedging of volatility products like variance swaps. **Risk Management Applications**: Assessment of tail risk through probability density evolution; stress testing of derivative portfolios; calculation of Value-at-Risk measures; evaluation of model risk in option pricing; monitoring of volatility surface stability. **Related Concepts and Extensions**: Special case of Black-Scholes PDE when σ_LV is constant; generalized to stochastic volatility models (Heston Fokker-Planck equation with additional state variables); extended to Lévy processes for jump-diffusion models; connects to Dupire's formula σ_LV²(S,t) = (∂C/∂T)/(½S²∂²C/∂K²) for calibration; related to backward Kolmogorov equation (Feynman-Kac) for pricing PDEs; foundation for multi-factor interest rate models; extends to path-dependent volatility models. **Implementation Considerations**: Requires numerical solution via finite difference methods (Crank-Nicolson scheme for stability); Monte Carlo simulation for calibration to market option prices; spectral methods for periodic boundaries; adaptive mesh refinement for accuracy near boundaries; implicit-explicit schemes for stiff equations; parallel computing for high-dimensional extensions. **Calibration Challenges**: Ill-posed inverse problem in Dupire's equation; requires dense option price data across strikes and maturities; sensitivity to market data noise and liquidity; regularization techniques needed to ensure positive definite volatility; iterative optimization methods for parameter fitting. **Computational Challenges**: High computational cost for real-time applications; numerical stability issues near maturity; boundary condition specification at S=0 and large S; memory requirements for multi-dimensional grids; convergence acceleration techniques needed for practical implementation.
Key Rate Duration,KRD_k = -(1/P) ∂P/∂y_k,Fixed Income,Sensitivity of bond price to change in specific point on yield curve. Allows for hedging non-parallel yield curve shifts.
Kolmogorov Forward Equation,∂p(x t|x_0 t_0)/∂t = -∂/∂x[μ(x|t)p] + ½∂²/∂x²[σ²(x|t)p],Stochastic Calculus,Forward Kolmogorov equation describing evolution of transition probability density for diffusion processes.
MBS Carry Return,Carry = (WAC - Servicing_Spread) - Cost_of_Funding,Fixed Income,Net carry return for mortgage-backed securities. Difference between weighted average coupon and funding costs.
MBS Interest Cash Flow,CF_t^{interest} = (B_{t-1} - SP_t/2) × WAC_t/12,Fixed Income,Interest cash flow calculation for mortgage-backed securities. Based on beginning balance minus scheduled principal payments.
MBS Scheduled Principal,SP_t = MP_t - Interest_t,Fixed Income,Scheduled principal payment for mortgage-backed securities. Total mortgage payment minus interest portion.
Moment Matching Parameters,σ² = log(𝔼[(S_T^Basket)²]/(𝔼[S_T^Basket])²) and μ = log(𝔼[S_T^Basket]) - σ²/2,Option Pricing,Parameter calculation for lognormal moment matching approximation. Matches first two moments of distribution.
Modified Duration,D_{mod} = D_{mac}/(1+y),Fixed Income,Modified duration measures price sensitivity to yield changes. Adjusts Macaulay duration for compounding frequency.
Negative Convexity Cost,Cost_{convexity} ≈ 0.5 × |C| × σ_y² × WAM,Fixed Income,Estimated cost of negative convexity for mortgage-backed securities. Combines convexity magnitude yield volatility and weighted average maturity.
Nelson-Siegel Yield Curve Model,y(τ) = β_0 + β_1 (1-e^{-τ/λ})/(τ/λ) + β_2 ((1-e^{-τ/λ})/(τ/λ) - e^{-τ/λ}),Fixed Income,Parametric yield curve model with level slope and curvature factors. Widely used for yield curve fitting and forecasting.
PSA Prepayment Model,CPR(t) = min(t/30 1) × 6%,Fixed Income,Public Securities Association prepayment benchmark for mortgage-backed securities. Standard industry convention for prepayment modeling.
Rational Prepayment Model,R_t = (dV/dr)/(dV/dr_{refi}),Fixed Income,Prepayment rate as ratio of yield incentive to refinance incentive. Captures economic rationality of mortgage prepayment decisions.
TIPS Pricing,P^{TIPS}(t T) = P^{real}(t T) ⋅ I_t,Fixed Income,Treasury Inflation-Protected Securities pricing formula. Real bond price multiplied by inflation index ratio.
Yield to Maturity,P_{mkt} = ∑_{i=1}^n C e^{-y t_i} + F e^{-y t_n},Fixed Income,Internal rate of return calculation for bonds. Discount rate that equates present value of cash flows to market price.
Garman-Kohlhagen Model,C = S_0 e^{-r_f T} Φ(d_1) - K e^{-r_d T} Φ(d_2),Foreign Exchange,Black-Scholes extension for currency options. Incorporates both domestic and foreign interest rates for FX option pricing.
Jarrow-Yildirim Inflation Model,dI_t/I_t = (r_n(t) - r_r(t)) dt + σ_I dW_I,Foreign Exchange,Treats inflation index like foreign currency with nominal rate as domestic and real rate as foreign rate. Used for inflation derivatives pricing.
Power Reverse Dual Currency,V_{PRDC} = Notional × max(∏_{i=1}^n (S_{t_i}/S_0)^{α_i} 0),Foreign Exchange,Structured FX product with power option features. Common in Japanese retail market with complex payoff structures.
CAPM (Capital Asset Pricing Model),R_i = R_f + β_i (R_m - R_f) + ε_i,Interest Rate Models,Capital Asset Pricing Model relating expected returns to systematic risk. Full model: R_i = 𝔼[R_i] + β_i (R_M - 𝔼[R_M]) + ε_i. Expected return relationship: 𝔼[R_i] = R_f + β_i (𝔼[R_m] - R_f) where β measures market sensitivity.
Caplet Pricing (Black-76),C_{caplet} = P(0 T_i) (F(0 T_{i-1} T_i) Φ(d_1) - K Φ(d_2)),Interest Rate Models,Market standard model for pricing interest rate caplets. Uses forward rate and discount factor with Black-76 formula.
Heston Stochastic Volatility,dS_t = (r - q) S_t dt + √{v_t} S_t dW_S^{(1)},Interest Rate Models,Heston model with stochastic volatility following square-root process. Captures volatility clustering and leverage effects.
Market Beta Decomposition,β_{iM} = ∑_{j=1}^k β_{ij} Cov(F_j R_M)/Var(R_M),Interest Rate Models,Decomposition of traditional market beta in multi-factor context. Shows how factor loadings contribute to overall market beta.
Swaption Pricing (Black-76),C_{swaption} = P(0 T_e) (S_0 Φ(d_1) - K Φ(d_2)),Interest Rate Models,Standard market model for pricing European swaptions. Uses forward swap rate and annuity factor as numeraire.
Variance Swap Fair Strike,σ_{fair}² = (1/P(0 T)) ∫_0^T 𝔼^ℚ[σ_s²] ds,Interest Rate Models,Fair strike for variance swap equals time-averaged expected variance under risk-neutral measure. Fundamental pricing relationship for volatility derivatives.
Volatility Swap Adjustment,K_{vol} ≈ √{K_{var}} - Var(√{Realized Variance})/(2 K_{vol}^{3/2}),Interest Rate Models,Convexity adjustment for volatility swap strike due to Jensen's inequality. Fair volatility strike below square root of variance strike.
APT Risk Premium Decomposition,𝔼[R_i] - r_f = β_{iM}(𝔼[R_M] - r_f) + ∑_{j=2}^k β_{ij} λ_j + α_i^{APT},Interest Rate Models,Arbitrage Pricing Theory decomposition of expected returns into market and factor components plus alpha.
Bermudan Swaption Valuation,V_n = max(g_n 𝔼[V_{n+1}|ℱ_n]),Interest Rate Models,Backward induction for Bermudan swaption pricing. Optimal exercise decision at each exercise date maximizes immediate exercise value versus continuation value.
Black-Cox First Passage Model,τ = inf{t ≥ 0: V_t ≤ K(t)},Credit Models,First passage time model for credit risk where default occurs when asset value hits time-dependent barrier. Extension of Merton model allowing early default.
Black-Litterman Expected Returns,𝔼[R] = [(τΣ)^{-1} + P^T Ω^{-1} P]^{-1} [(τΣ)^{-1} Π + P^T Ω^{-1} Q],Interest Rate Models,Bayesian approach combining equilibrium returns with investor views. Produces stable expected return estimates for portfolio optimization.
CAPM Expected Return,𝔼[R_i] = R_f + β_i (𝔼[R_m] - R_f),Interest Rate Models,Capital Asset Pricing Model equilibrium relationship. Expected return equals risk-free rate plus beta times market risk premium.
Constant Elasticity of Variance,dS_t = μ S_t dt + σ S_t^β dW_t,Interest Rate Models,Constant elasticity of variance model with volatility proportional to S^β. Captures leverage effect when β < 1.
CSA Discounting (OIS),V(t) = 𝔼^ℚ[exp(-∫_t^T c(u) du) Payoff],Credit Models,Post-crisis discounting using collateral rate c(u) instead of LIBOR. Reflects funding costs and credit risk mitigation through collateral.
Cap Valuation,Cap(t) = ∑_{i=1}^n Caplet(t T_i),Interest Rate Models,Interest rate cap value equals sum of individual caplet values. Portfolio of options on successive forward rates.
Capital Asset Pricing Model,𝔼[R_i] - r_f = β_i (𝔼[R_m] - r_f),Interest Rate Models,Fundamental equilibrium model relating expected return to systematic risk. Beta measures sensitivity to market movements.
Caplet Price (Black),C = P(0 T_{i-1}) (F Φ(d_1) - K Φ(d_2)),Interest Rate Models,Individual caplet pricing using Black-76 model. P(0 T_{i-1}) is discount factor and F is forward rate.
Constant Maturity Swap,V_{CMS} = 𝔼^ℚ[∫_t^T max(S_u - K 0) du],Interest Rate Models,Swap with floating leg based on constant maturity swap rate. Exposes investor to long-term interest rate movements.
Convexity Adjustment,C = (1/P) d²P/dy²,Interest Rate Models,Second-order price sensitivity to yield changes. Measures curvature of price-yield relationship for bonds and derivatives.
Convexity Adjustment (Futures),F_{fut} = F_{fwd} - ½ Cov(∫_t^T r_s ds r_T),Interest Rate Models,Adjustment from forward to futures price due to daily settlement. Covariance between interest rates and discount factors creates convexity difference.
Correlation Structure,ρ_{i j} = exp(-|T_i - T_j|/λ) × [α + (1-α) exp(-min(T_i T_j)/λ)],Interest Rate Models,Parametric correlation function for forward rates. Exponential decay with decorrelation parameter λ and asymptotic level α.
Cross-Currency Basis Swap,V_{basis} = ∑_{i=1}^n δ_i (R_{dom} - R_{for} × FX_{fwd}) P(0 T_i),Interest Rate Models,Valuation of cross-currency basis swap. Captures deviation from covered interest rate parity through basis spread.
Digital Caplet/Floorlet,V_{digital} = P(0 T_i) K Φ(±d_2),Interest Rate Models,Binary option on interest rates paying fixed amount if rate exceeds strike. Used in structured interest rate products.
Discount Factor Construction,P(t T) = exp(-∑_{i=1}^n f_i Δt_i),Interest Rate Models,Bootstrapping discount factors from piecewise constant forward rates. Fundamental yield curve construction technique.
Dispersion Trading,P&L ∝ σ_{idx}² - ∑ w_i² σ_i²,Interest Rate Models,Trading strategy exploiting difference between index volatility and weighted sum of constituent volatilities. Captures correlation risk premium.
Drift Adjustment,μ_k(t) = σ_k(t) × ∑_{j=1}^k [τ_j F_j(t) σ_j(t) ρ_{k j}]/[1 + τ_j F_j(t)],Interest Rate Models,Drift adjustment for forward rates under different measures in LIBOR Market Model. Ensures arbitrage-free dynamics.
Expected Shortfall,CVaR_α = 𝔼[L|L > VaR_α] = μ + σ/(1-α) φ(z_α),Credit Models,Coherent risk measure representing expected loss beyond VaR threshold. More conservative than VaR for tail risk measurement.
Fama-French 3-Factor Model,R_i - R_f = α + β^{MKT}(R_m - R_f) + β^{SMB} SMB + β^{HML} HML,Interest Rate Models,Empirical asset pricing model extending CAPM with size and value factors. Explains cross-section of expected returns.
Floating Rate Note,V_{float}(t_i) = F,Interest Rate Models,Floating rate note value at reset date equals face value F. Coupon reset ensures bond trades near par between reset dates.
Floorlet Price (Black),P = P(0 T_{i-1}) (K Φ(-d_2) - F Φ(-d_1)),Interest Rate Models,Individual floorlet pricing using Black-76 model. Puts on forward interest rates with payoff at end of accrual period.
Forward Rate Dynamics,dr(t) = [∂f(0 t)/∂t + λf(0 t) + η(t)²/λ (1-exp(-λt)) - λr(t)]dt + η(t)dW(t),Interest Rate Models,Short rate dynamics under exponential volatility structure in HJM framework. Markovian reduction of general HJM model.
Forward Swap Rate,S_{m n}(t) = (P(t T_m) - P(t T_n))/∑_{i=m+1}^n τ_i P(t T_i),Interest Rate Models,Par forward swap rate for tenor from T_m to T_n. Equalizes present value of fixed and floating legs at inception.
Forward Variance Model,d(σ_t² × t) = ω_t dt,Interest Rate Models,Forward variance curve dynamics used in volatility derivatives pricing. Variance swap fair strike equals initial forward variance.
G2++ Model Dynamics,r_t = x_t + y_t + φ(t),Interest Rate Models,Two-factor Gaussian interest rate model with mean-reverting factors x_t and y_t plus deterministic shift φ(t) for exact calibration.
Global Floor and Cap,V_{global} = e^{-rT} max(min(∏_{i=1}^n R_i GlobalCap) GlobalFloor),Interest Rate Models,Global risk controls on structured products. Apply to total return across all periods rather than period-by-period.
HJM Drift Condition,μ(t T) = σ(t T) ∫_t^T σ(t u) du,Interest Rate Models,No-arbitrage drift condition in Heath-Jarrow-Morton framework. Forward rate drift completely determined by volatility structure.
Interest Rate Swap PV (Fixed),V_{fixed} = τ ∑_{i=1}^n R_{fixed} P(0 t_i),Interest Rate Models,Present value of fixed leg in interest rate swap. Sum of discounted fixed coupons weighted by day count fractions.
Interest Rate Swap Valuation,V_{swap}(t) = P(t T_0) - P(t T_n) - K ∑_{i=1}^n τ_i P(t T_i),Interest Rate Models,General swap valuation formula. Difference between floating leg (PV of notional exchanges) and fixed leg (PV of fixed coupons).
KVA Capital Valuation,KVA = ∫_0^T h × RC_t × DF(t) dt,Interest Rate Models,Capital valuation adjustment for regulatory capital cost. Integrates cost of holding regulatory capital over trade lifetime.
KVA with Hurdle Rate,KVA = ∫_0^T h(t) × 𝔼[K(t)] dt,Interest Rate Models,Lifetime cost of holding regulatory capital K(t) at hurdle rate h(t). Reflects expensive equity funding for Basel III capital requirements.
LIBOR Market Model,dF_j(t) = μ_j(t) F_j(t) dt + σ_j(t) F_j(t) dW_j(t),Interest Rate Models,Market model for discrete forward LIBOR rates. Each forward rate follows lognormal dynamics with specific drift adjustments.
LMM Dynamics,dL_k(t)/L_k(t) = μ_k(t) dt + σ_k(t) dW_t,Interest Rate Models,Lognormal forward LIBOR model with time-dependent volatility. Standard market model for interest rate derivatives.
LIBOR-in-Arrears,V = N × D(0 T) × [L_0 + σ²L_0²T/(1+L_0 τ)],Interest Rate Models,Convexity adjustment for LIBOR-in-arrears swaps. Payment at period end rather than beginning creates correlation adjustment.
Location Basis (WTI-Brent),Basis = S_t^{WTI} - S_t^{Brent} - Transport,Interest Rate Models,Price differential between commodity locations. Reflects transportation costs and regional supply/demand imbalances.
MBS Key Rate Duration Hedging,ΔV = ∑_{i=1}^K w_i × D_i^{MBS} × Δr_i,Interest Rate Models,Hedging mortgage-backed securities using key rate durations. Decomposes yield curve risk into sensitivity to yield curve points.
MBS Total Return,TR = ∑_{t=1}^T CF_t/P_0 - 1,Interest Rate Models,Total return calculation for mortgage-backed securities including all cash flows relative to initial price.
MBS Key Rate Duration,D_{key} = -(P_+ - P_-)/(2P_0 × Δr_{key}),Interest Rate Models,Effective duration measure for MBS at specific yield curve points. Captures non-parallel yield curve sensitivity.
Payer Swaption Valuation,𝔼^A[max(r_{T_S}(T_S T_E) - K 0)],Interest Rate Models,Risk-neutral expectation for payer swaption payoff. Option to enter swap paying fixed rate K and receiving floating.
Par Swap Rate Formula,r_{PAR} = ∑_{i=1}^n [f_{LIBOR}(0 T_{i-1} T_i) + s] τ_i P_{OIS}(0 T_i)/∑_{i=1}^n τ_i P_{OIS}(0 T_i),Interest Rate Models,Par swap rate with LIBOR-OIS basis adjustment. Reflects post-crisis multi-curve framework for swap pricing.
Cross-Currency Funding Basis,FVA_{CCY} = ∑_i (r_{USD}^{F i} - r_{USD}^{OIS i} - basis_i) × exposure_i × DF_i,Interest Rate Models,Funding valuation adjustment for currency mismatches. Captures additional cost from cross-currency basis spreads.
Zero-Beta Rate Estimation,λ̂_0 = ∑_{i=1}^N (1/β̂_i)(R̄_i - R_f)/∑_{i=1}^N (1/β̂_i²),Interest Rate Models,Estimation of zero-beta rate when market proxy is inefficient. Minimum-distance estimator accounting for proxy inefficiency.
Model Uncertainty Reserve,R_{model} = α × Notional × σ_{model},Interest Rate Models,Capital buffer for model risk uncertainty. Proportional to notional exposure and model volatility estimate.
Swaption Pricing (Normal Model),P_{swaption} = P(0 T_e) (K Φ(-d_2) - S_0 Φ(-d_1)),Interest Rate Models,Normal model for swaption pricing in low/negative rate environments. Assumes normal rather than lognormal distribution of swap rates.
OIS Valuation,V_{OIS} = ∑_{i=1}^n (1/n ∑_{j ∈ period i} r_{oj}) P(0 T_i),Interest Rate Models,Overnight Index Swap valuation using compounded overnight rates. Post-crisis benchmark for risk-free discounting.
Hull-White Bond Price,P(t T) = P(0 T)/P(0 t) exp(-½(V(t T) - V(0 T) + V(0 t)) - M_x(t T)x_t - M_y(t T)y_t),Interest Rate Models,Closed-form bond price solution for Hull-White extended Vasicek model. Time-dependent parameters allow exact fit to initial yield curve.
Prepayment Model Calibration,L(θ) = ∑_{i=1}^K w_i × (Prepayment_i^{model}(θ) - Prepayment_i^{observed})²,Interest Rate Models,Loss function for calibrating prepayment models to historical data. Weighted least-squares minimization for parameter estimation.
Refinancing Incentive Model,CPR_t^{refi} = α × Φ(β × (r_t - WAC_t) + γ × (WAC_t - r_t)_+ + ε_t),Interest Rate Models,Economic prepayment model capturing refinancing incentive and burnout effects. Links prepayment speeds to rate incentives.
Risk Parity Allocation,w_i ∂σ_p/∂w_i = w_j ∂σ_p/∂w_j = σ_p/N,Interest Rate Models,Portfolio construction allocating risk equally across assets rather than capital. Leverages low-volatility assets to achieve balance.
SABR-LMM Hybrid Model,dL_k = α_k L_k^β dW_L dα_k = ν α_k dW_α,Interest Rate Models,Combined model capturing both yield curve dynamics (LMM) and volatility smile (SABR). Essential for exotic interest rate derivatives.
Schwartz One-Factor Model,d(ln S_t) = κ(α - ln S_t) dt + σ dW_t,Interest Rate Models,Mean-reverting commodity price model. Captures supply-demand dynamics pushing prices toward long-run equilibrium level α.
Swap Pricing Formula,V_{payer} = ∑_{i=1}^n τ_i P(0 T_i) (L_i - K),Interest Rate Models,Present value of interest rate swap cash flows. Net present value of difference between floating and fixed legs.
Par Swap Rate,R_{swap} = (1 - P(0 T))/∑_{i=1}^n τ_i P(0 T_i),Interest Rate Models,Par swap rate equating present values of fixed and floating legs. Market rate for zero-value swap at inception.
Swaption Pricing (Bachelier),V_{payer} = A(t)[(S(t) - K)N(d) + σ√{T}N'(d)],Interest Rate Models,Normal model for swaptions in low/negative rate environments. Assumes normal rather than lognormal distribution of swap rates.
Swap Valuation Post-Inception,V_t = NA × (r_{FIX 0} - r_{FIX t}) × ∑_{i=1}^{n'} τ_i P(t T_i),Interest Rate Models,Swap value after inception equals notional times difference between contractual and market rates times annuity factor.
Exponential Volatility Structure,σ(t T) = σ_0 exp(-λ(T-t)),Interest Rate Models,HJM volatility specification generating Hull-White model. Exponential decay captures higher short-term volatility.
Total Return Swap,TRS_{payer} = (S_T - S_0) + Dividends - (L + spread) dt,Interest Rate Models,Synthetic exposure to asset returns without owning underlying. Exchanges total return for floating rate plus spread.
Vasicek Short Rate Model,dr_t = a(b - r_t) dt + σ dW_t,Interest Rate Models,Mean-reverting Gaussian model for short-term interest rates. Ornstein-Uhlenbeck process with long-run mean b and speed a.
HJM Forward Rate Dynamics,df(t T) = α(t T)dt + σ(t T)dW_t^ℚ,Interest Rate Models,General framework for modeling entire forward rate curve evolution. Drift condition ensures arbitrage-free dynamics.
Nelson-Siegel-Svensson Model,y(τ) = β_0 + β_1 (1-e^{-λ_1 τ})/(λ_1 τ) + β_2 ((1-e^{-λ_1 τ})/(λ_1 τ) - e^{-λ_1 τ}) + β_3 ((1-e^{-λ_2 τ})/(λ_2 τ) - e^{-λ_2 τ}),Interest Rate Models,Svensson extension of Nelson-Siegel model with additional curvature factor λ₂ for improved yield curve fitting flexibility. Related to basic Nelson-Siegel model with 3 parameters.
Hazard Rate Process,λ_t = λ(t X_t) where X_t is state vector,Credit Models,General specification for hazard rate process in credit models. Allows for time-varying and state-dependent default intensity.
