OIS Swap Valuation Framework,V_{OIS} = ∑_{i=1}^n (1/n ∑_{j ∈ period i} r_{oj}) P(0 T_i),Interest Rate Models,OIS swap valuation using compounded overnight rates, representing the post-crisis risk-free benchmark for discounting and collateral valuation. **Mathematical Foundation**: The floating leg V_floating = ∑ [∏_{j=1}^{n_i} (1 + r_{oj} δ_j) - 1] × δ_i where r_{oj} are daily OIS rates. The fixed leg uses OIS discounting. **Key Assumptions**: Risk-free OIS rates, daily compounding, no counterparty risk. **Practical Applications**: Risk-free discounting, collateralized derivative valuation, central bank policy analysis. **Limitations**: Basis risk vs LIBOR; operational complexity of daily rates. **Implementation**: Bootstrapping OIS curve; analytical pricing for standard swaps. **Related Concepts**: Fed Funds futures for short-end; SOFR index for USD OIS.
Hull-White Extended Vasicek Bond Price,P(t T) = P(0 T)/P(0 t) exp(-½(V(t T) - V(0 T) + V(0 t)) - M_x(t T)x_t - M_y(t T)y_t),Interest Rate Models,Closed-form bond price for the Hull-White extended Vasicek model with time-dependent parameters, allowing exact calibration to observed yield curves. **Mathematical Foundation**: The model dr = (θ(t) - κ r) dt + σ dW has bond price P(t T) = exp(A(t T) - B(t T) r_t) with A(t T) solved from Riccati equations. The G2++ form allows exact fit to initial term structure. **Key Assumptions**: Gaussian process, time-dependent drift, arbitrage-free dynamics. **Practical Applications**: Interest rate derivative pricing, yield curve modeling, risk management. **Limitations**: Allows negative rates; volatility structure assumptions. **Implementation**: Numerical solution of Riccati equations; analytical for standard cases. **Related Concepts**: Vasicek model with constant parameters; Black-Karasinski lognormal version.
Prepayment Model Calibration,L(θ) = ∑_{i=1}^K w_i × (Prepayment_i^{model}(θ) - Prepayment_i^{observed})²,Interest Rate Models,Loss function for calibrating prepayment models to historical data, using weighted least squares to estimate model parameters θ. **Mathematical Foundation**: The calibration minimizes L(θ) = ∑ w_i (Prepayment_i^{model}(θ) - Prepayment_i^{observed})² where weights w_i reflect data quality or importance. **Key Assumptions**: Model structure correctly specified, i.i.d. errors, sufficient historical data. **Practical Applications**: MBS valuation, risk management, structured finance modeling. **Limitations**: Overfitting risk; model misspecification. **Implementation**: Nonlinear optimization; cross-validation for robustness. **Related Concepts**: Maximum likelihood estimation; Bayesian calibration methods.
Refinancing Incentive Prepayment Model,CPR_t^{refi} = α × Φ(β × (r_t - WAC_t) + γ × (WAC_t - r_t)_+ + ε_t),Interest Rate Models,Economic prepayment model capturing refinancing incentive and burnout effects, linking prepayment speeds to the economic benefit of refinancing. **Mathematical Foundation**: CPR_refi = α × Φ(β(r_t - WAC_t) + γ(WAC_t - r_t)+ + ε_t) where Φ is cumulative normal, r_t is market rate, WAC_t is loan rate. The model captures the option value of refinancing. **Key Assumptions**: Rational borrower behavior, normal distribution of incentives, constant parameters. **Practical Applications**: MBS pricing, prepayment risk management, loan portfolio valuation. **Limitations**: Assumes rational behavior; ignores transaction costs and behavioral factors. **Implementation**: Historical data regression; simulation for path-dependent effects. **Related Concepts**: PSA benchmark model; burnout adjustment for seasoned loans.
Risk Parity Portfolio Allocation,w_i ∂σ_p/∂w_i = w_j ∂σ_p/∂w_j = σ_p/N,Interest Rate Models,Risk parity allocates capital equally across assets rather than equally by dollar amount, leveraging low-volatility assets to achieve balanced risk contribution. **Mathematical Foundation**: Risk parity solves w_i ∂σ_p/∂w_i = constant for all i, where ∂σ_p/∂w_i is the marginal contribution to portfolio volatility. This gives w_i ∝ 1/(σ_i ∂σ_p/∂w_i). **Key Assumptions**: Volatility-based risk measure, constant correlations, no transaction costs. **Practical Applications**: Diversified portfolio construction, risk budgeting, institutional asset allocation. **Limitations**: Ignores expected returns; rebalancing frequency affects performance. **Implementation**: Iterative optimization; requires covariance matrix estimation. **Related Concepts**: Equal weight portfolios; minimum variance optimization.
SABR-LMM Hybrid Interest Rate Model,dL_k = α_k L_k^β dW_L dα_k = ν α_k dW_α,Interest Rate Models,Combined model capturing yield curve dynamics (LMM) and volatility smile (SABR), essential for pricing exotic interest rate derivatives with realistic volatility structure. **Mathematical Foundation**: LIBOR rates follow LMM dynamics while volatility follows SABR process dα = ν α dW_α. The hybrid captures both term structure and smile effects. **Key Assumptions**: Separable dynamics, constant correlations, arbitrage-free joint evolution. **Practical Applications**: Complex derivative pricing, volatility surface modeling, risk management. **Limitations**: High dimensionality; calibration extremely challenging. **Implementation**: Monte Carlo simulation; specialized PDE methods. **Related Concepts**: LMM with stochastic volatility; SABR for single rates.
Schwartz One-Factor Commodity Model,d(ln S_t) = κ(α - ln S_t) dt + σ dW_t,Interest Rate Models,Mean-reverting commodity price model capturing supply-demand dynamics that push prices toward long-run equilibrium level α. **Mathematical Foundation**: The model d(ln S_t) = κ(α - ln S_t) dt + σ dW_t implies S_t reverts to equilibrium level exp(α) with speed κ. The long-run mean is determined by supply-demand fundamentals. **Key Assumptions**: Mean-reverting log-price, constant parameters, geometric Brownian motion around equilibrium. **Practical Applications**: Commodity derivative pricing, risk management for commodity portfolios, energy trading. **Limitations**: Single factor may miss complex market dynamics; ignores seasonality. **Implementation**: Analytical solutions for European options; calibration to futures curve. **Related Concepts**: Two-factor models with stochastic convenience yield; GARCH models for volatility.
Standard Interest Rate Swap Valuation,V_{payer} = ∑_{i=1}^n τ_i P(0 T_i) (L_i - K),Interest Rate Models,Present value of interest rate swap cash flows for a payer swap (paying fixed rate K, receiving floating rates L_i). **Mathematical Foundation**: V_payer = ∑ τ_i P(0,T_i) (L_i - K) where L_i are forward LIBOR rates, τ_i day count fractions, P discount factors. At inception, V = 0 so K equals par swap rate. **Key Assumptions**: Deterministic forward rates, standard conventions, no counterparty risk. **Practical Applications**: Swap pricing and hedging, yield curve analysis, risk management. **Limitations**: Assumes standard swap conventions; credit risk affects actual pricing. **Implementation**: Analytical calculation from yield curve; bootstrapping techniques. **Related Concepts**: Receiver swap valuation; forward swap pricing.
Par Swap Rate Calculation,R_{swap} = (1 - P(0 T))/∑_{i=1}^n τ_i P(0 T_i),Interest Rate Models,The par swap rate that makes the swap value zero at inception, equating the present values of fixed and floating legs. **Mathematical Foundation**: The par rate R_swap satisfies ∑ τ_i R_swap P(0,T_i) = 1 - P(0,T_n), giving R_swap = (1 - P(0,T_n))/∑ τ_i P(0,T_i). This represents the fair fixed rate for the swap. **Key Assumptions**: Deterministic discount factors, standard day count conventions, floating leg equals par. **Practical Applications**: Benchmark rate calculation, yield curve construction, relative value analysis. **Limitations**: Assumes flat par rate; actual market swaps may have different structures. **Implementation**: Direct calculation from discount factor curve; fundamental to bootstrapping. **Related Concepts**: Forward swap rates; CMS rates for longer tenors.
Bachelier Normal Swaption Model,V_{payer} = A(t)[(S(t) - K)N(d) + σ√{T}N'(d)],Interest Rate Models,Normal model for swaption pricing using Bachelier framework, suitable for low/negative rate environments where lognormal models fail. **Mathematical Foundation**: For normal dynamics dS = σ dW, the pricing formula V = A [(S - K) Φ(d) + σ√τ φ(d)] with d = (S - K)/(σ√τ). This gives positive probabilities for negative rates. **Key Assumptions**: Normal swap rate distribution, constant volatility, European exercise. **Practical Applications**: Negative rate environment pricing, structured product valuation, risk management. **Limitations**: Assumes normal distribution; may understate tail risk. **Implementation**: Analytical formula; requires normal volatility calibration. **Related Concepts**: Lognormal Black model; displaced diffusion for hybrid approaches.
Post-Inception Swap Valuation,V_t = NA × (r_{FIX 0} - r_{FIX t}) × ∑_{i=1}^{n'} τ_i P(t T_i),Interest Rate Models,Swap value after inception equals the notional times the difference between contractual and market fixed rates, times the remaining annuity factor. **Mathematical Foundation**: For a payer swap, V_t = NA × (K - S_t) × A_t where S_t is current par swap rate, A_t is remaining annuity factor. This follows from V_t = V_floating - V_fixed. **Key Assumptions**: Deterministic discount factors, no counterparty risk, standard conventions. **Practical Applications**: Swap mark-to-market, hedging effectiveness measurement, risk management. **Limitations**: Assumes parallel yield curve shifts; actual value depends on curve shape. **Implementation**: Real-time calculation from current yield curve; used for daily P&L. **Related Concepts**: Forward swap valuation; quanto adjustments for currency swaps.
Exponential Volatility Structure,σ(t T) = σ_0 exp(-λ(T-t)),Interest Rate Models,HJM volatility specification generating the Hull-White model, with exponential decay capturing higher short-term interest rate volatility. **Mathematical Foundation**: The volatility σ(t T) = σ_0 exp(-λ(T-t)) gives the Hull-White SDE dr = (θ(t) - κ r) dt + σ_0 exp(-λ(T-t)) dW. This specification allows analytical bond pricing. **Key Assumptions**: Deterministic volatility structure, exponential decay, arbitrage-free dynamics. **Practical Applications**: Interest rate modeling, derivative pricing, yield curve fitting. **Limitations**: Parametric form may not fit empirical volatility surfaces. **Implementation**: Analytical solutions for bond prices; calibration to cap volatilities. **Related Concepts**: Constant volatility Vasicek; time-dependent Hull-White extensions.
Total Return Swap Valuation,TRS_{payer} = (S_T - S_0) + Dividends - (L + spread) dt,Interest Rate Models,Synthetic equity exposure through total return swap, exchanging asset returns for floating rate plus spread without owning the underlying. **Mathematical Foundation**: The payer receives total return (price appreciation + dividends) and pays LIBOR + spread. Present value V = 𝔼[(S_T - S_0 + D_T) - ∫ (L_t + s) dt]. **Key Assumptions**: Deterministic dividends, no counterparty risk, standard swap conventions. **Practical Applications**: Synthetic equity positions, risk management, structured finance, tax optimization. **Limitations**: Counterparty risk; funding costs affect valuation. **Implementation**: Monte Carlo for path-dependent payoffs; analytical for simple cases. **Related Concepts**: Equity swaps; dividend swaps for income stripping.
Vasicek Short Rate Model,dr_t = a(b - r_t) dt + σ dW_t,Interest Rate Models,Mean-reverting Gaussian model for the short-term interest rate, providing analytical tractability for interest rate derivative pricing. **Mathematical Foundation**: The Ornstein-Uhlenbeck process dr = a(b - r) dt + σ dW has stationary distribution r ~ N(b, σ²/(2a)). Bond prices have closed form P(t T) = exp(A(t T) - B(t T) r_t). **Key Assumptions**: Gaussian dynamics, constant parameters, mean reversion, arbitrage-free. **Practical Applications**: Term structure modeling, derivative pricing, risk management. **Limitations**: Allows negative rates; constant volatility unrealistic. **Implementation**: Analytical bond pricing; efficient for calibration. **Related Concepts**: CIR model with positivity; Hull-White with time-dependent parameters.
Heath-Jarrow-Morton Framework,df(t T) = α(t T)dt + σ(t T)dW_t^ℚ,Interest Rate Models,General arbitrage-free framework for modeling the entire forward rate curve evolution, with drift determined by volatility structure. **Mathematical Foundation**: The forward rate dynamics df(t T) = α(t T) dt + σ(t T) dW ensure no arbitrage through the drift condition α(t T) = σ(t T) ∫_t^T σ(t u) du. **Key Assumptions**: Continuous trading, frictionless markets, risk-neutral measure. **Practical Applications**: Interest rate modeling foundation, consistent derivative pricing. **Limitations**: Infinite-dimensional; requires finite-dimensional approximations. **Implementation**: HJM trees, PDE methods, or factor models like LMM. **Related Concepts**: LIBOR Market Model implementation; Brace-Gatarek-Musiela HJM formulation.
Nelson-Siegel-Svensson Yield Curve Model,y(τ) = β_0 + β_1 (1-e^{-λ_1 τ})/(λ_1 τ) + β_2 ((1-e^{-λ_1 τ})/(λ_1 τ) - e^{-λ_1 τ}) + β_3 ((1-e^{-λ_2 τ})/(λ_2 τ) - e^{-λ_2 τ}),Interest Rate Models,Svensson extension of Nelson-Siegel with additional curvature parameter λ₂ for improved yield curve fitting flexibility across different maturities. **Mathematical Foundation**: Four-factor model with level β₀, slope β₁, curvature β₂, and additional curvature β₃. The Svensson form provides better fit for complex yield curve shapes. **Key Assumptions**: Parametric form captures market dynamics, arbitrage-free structure, time-homogeneous parameters. **Practical Applications**: Central bank yield curve modeling, risk management, derivative pricing. **Limitations**: Parametric restrictions; requires parameter estimation from market data. **Implementation**: Nonlinear least squares calibration; analytical duration formulas. **Related Concepts**: Basic Nelson-Siegel (3 parameters); cubic spline interpolation methods.
Variance Swap Payoff Calculation,N_{var} × (Realized Variance - K_{var}²),Interest Rate Models,Variance swap payoff based on the difference between realized quadratic variation and the strike variance level, providing pure exposure to volatility. **Mathematical Foundation**: The payoff N_var × (σ_realized² - K_var) where σ_realized² = (1/T) ∫_0^T σ_t² dt for continuous case, or discrete approximation. Fair strike equals forward variance. **Key Assumptions**: Continuous monitoring, no jumps, risk-neutral pricing. **Practical Applications**: Volatility trading, portfolio insurance, risk management for volatility-sensitive positions. **Limitations**: Discretization bias; requires volatility forecast for pricing. **Implementation**: High-frequency data for realized variance; Monte Carlo for pricing. **Related Concepts**: Volatility swaps with square root payoff; gamma swaps.
Realized Variance Calculation,σ_{realized}² = (252/N) ∑_{i=1}^N [ln(S_{t_i}/S_{t_{i-1}})]²,Interest Rate Models,Standard calculation of realized variance from high-frequency price data, annualized using 252 trading days convention for equity markets. **Mathematical Foundation**: Realized variance σ_realized² = (252/N) ∑ [ln(S_{t_i}/S_{t_{i-1}})]² approximates the quadratic variation ∫ σ_t² dt. The 252 factor annualizes the daily variance. **Key Assumptions**: Continuous trading, no microstructure noise, log-price follows diffusion. **Practical Applications**: Volatility measurement, risk management, option pricing validation, market microstructure analysis. **Limitations**: Market microstructure noise; discrete sampling bias. **Implementation**: High-frequency data processing; noise-robust estimators for practical use. **Related Concepts**: Realized volatility (square root); bipower variation for jump-robust estimation.
Year-on-Year Inflation Swap Payoff,Payoff = N × (I_T/I_{T-1} - 1 - K),Interest Rate Models,Inflation swap exchanging a fixed rate K for the realized year-on-year inflation rate, providing exposure to inflation expectations. **Mathematical Foundation**: The payoff N × (I_T/I_{T-1} - 1 - K) where I_T is inflation index at maturity T, I_{T-1} at T-1 years. This gives exposure to one-year inflation rate ending at T. **Key Assumptions**: Deterministic inflation indices, no counterparty risk, standard conventions. **Practical Applications**: Inflation hedging, structured product components, monetary policy analysis. **Limitations**: Index revision risk; seasonal adjustment issues. **Implementation**: Requires inflation curve construction; analytical or Monte Carlo pricing. **Related Concepts**: Zero-coupon inflation swaps; inflation caps/floors.
Zero-Coupon Inflation Swap Payoff,Payoff = N × (I_T/I_0 - (1 + K)^T),Interest Rate Models,Zero-coupon inflation swap providing exposure to cumulative inflation over the entire term, with single payoff at maturity. **Mathematical Foundation**: The payoff N × (I_T/I_0 - (1 + K)^T) compares realized cumulative inflation I_T/I_0 against fixed growth (1+K)^T. This is equivalent to a zero-coupon bond with inflation adjustment. **Key Assumptions**: Deterministic inflation indices, no counterparty risk, standard payoff structure. **Practical Applications**: Long-term inflation hedging, pension fund management, inflation-linked structured products. **Limitations**: Long horizon uncertainty; index calculation methodology risk. **Implementation**: Inflation curve bootstrapping; requires long-term inflation expectations. **Related Concepts**: Year-on-year swaps; inflation-linked bonds.
