Title,Equation,Main_Category,Notes
DVA (Debit),\text{DVA} = (1-R_{own}) \int_0^T \underbrace{\text{ENE}(t)}_{\text{Negative Exposure}} dPD_{own}(t),Credit Models,"Debit Valuation Adjustment is the mirror of CVA. It reflects the value of the bank's *own* default risk. If the bank defaults while owing money (Negative Exposure), it effectively pays only the recovery rate, creating a gain for shareholders. It is controversial but required by accounting standards (IFRS 13) to ensure bilateral symmetry."
Debit Value Adjustment (DVA),"DVA = -LGD_own × Σ_{i=1}^{n} NEE(t_i) × PD_own(t_{i-1}, t_i) × (1 - PD_counterparty(0, t_{i-1}))",Credit Models,"Where LGD_own represents the calculating party's own loss given default, NEE(t_i) denotes negative expected exposure (the counterparty's exposure to the calculating entity) at time t_i, PD_own(t_{i-1}, t_i) is the marginal probability of the calculating party's default, and PD_counterparty(0, t_{i-1}) represents the counterparty's survival probability."
Default occurs when the latent variable falls below a threshold determined by the hazard rate h_i and time horizon t:,τ_i ≤ t ⇔ X_i ≤ Φ^{-1}(1 - e^{-h_i t}),Credit Models,This threshold derives from the identity P(τ_i ≤ t) = 1 - e^{-h_i t} for exponential default times. The joint probability that a set of obligors default by time t is:
Defaultable Bond Price (Duffie-Singleton),"\text{Defaultable bond price: } \tilde{P}(t,T) = \mathbb{E}^{\mathbb{Q}}\left[ e^{-\int_t^T (r_s + \lambda_s) ds} \middle| \mathcal{F}_t \right]",Credit Models,Credit risk modeling framework
CDO Portfolio Loss Function,"where L(z,t) = (1-R) Φ( \frac{Φ^{-1}(1-e^{-ht}) - √{ρ} z}{√{1-ρ}} ) for homogeneous case with hazard rate h. This degeneracy (point mass) reflects the complete elimination of idiosyncratic risk.",Credit Models,Credit risk modeling framework
Distance to Default,DD = \frac{\ln(V_0/F) + (\mu - \sigma_V^2/2)T}{\sigma_V \sqrt{T}},Credit Models,Distance to default measures how many standard deviations firm assets are from default threshold. | Key metric in KMV model for default probability estimation.
Excess Spread,ES = sum_{i=1}^n (AssetRate_i - LiabilityRate_i) * Balance_i,Credit Models,Credit enhancement from spread between assets and liabilities. First loss protection. Reduces required subordination. Critical for mezzanine tranches.
"For a tranche with attachment point a and detachment point d, the tranche loss is:","L_{[a,d]}(t) = min{L(t), d} - min{L(t), a}",Credit Models,"This piecewise linear function creates the characteristic payoff structure where equity tranches (0-3%) absorb first losses, mezzanine tranches (3-7%, 7-10%) provide intermediate protection, and senior tranches (10-15%, 15-30%) offer the highest credit enhancement. The expected tranche loss E^Q[L_{[a,d]}(T)] forms the basis for premium calculations through the fundamental theorem of asset pricing."
Credit Derivative Pricing,V_forward = V_CDS(T_f,Credit Models,T_e)
G-Spread (Government Spread),G = y_bond - y_govt,Credit Models,Spread to government curve at each maturity. Yield curve comparison. Basis for credit spread analysis.
Survival Probability,P(\tau > t) = \exp\left( -\int_0^t \lambda(s) ds \right),Credit Models,Reduced form model where default is a Poisson arrival with intensity lambda.
Credit Risk Model,\text{Default occurs when } V_T < D,Credit Models,Credit risk modeling framework
Credit Risk Model,"**If default:**
CLN_{payoff} = (1-R) \cdot N",Credit Models,Credit risk modeling framework
Merton Equity Value,E_t = V_t Phi(d_1) - D exp(-r(T-t)) Phi(d_2) with d_1,Credit Models,Credit Risk | Equity Derivatives
Merton Jump-Diffusion,\frac{dS_t}{S_{t-}} = (\mu - \lambda k) dt + \sigma dW_t + (e^J - 1) dN_t,Credit Models,Models sudden jumps in asset prices using Poisson process.
Merton Model,A_T = V_T\quad D_T = min(V_T,Credit Models,0)
Par CDS Spread,s_{par} = \frac{(1-R) \int_0^T P(0,Credit Models,T_i) Q(\tau > T_i)}
Probability of Default (Risk-Neutral),PD^{\mathbb{Q}} = \Phi(-d_2) \text{Default time } \tau = \inf\{ t \ge 0 : V_t \le K(t) \},Credit Models,Variables:
Probability of Default (Risk-Neutral),PD^{\mathbb{Q}} = \Phi(-d_2) #### 2. Black-Cox First Passage Time Model \text{Default time } \tau = \inf\{ t \ge 0 : V_t \le K(t) \},Credit Models,See markdown for detailed variables and explanation
Survival Probability,P(\tau > T \mid \mathcal{F}_t) = \exp\left(-\int_t^T \lambda(s) ds\right),Credit Models,The probability that no default occurs before time T given information at time t.
Survival Probability,"\mathbb{Q}(\tau > T) = \Phi\left( \frac{\ln(V_0/K(0)) + (\mu - \sigma^2/2)T}{\sigma\sqrt{T}} \right) - \left( \frac{K(0)}{V_0} \right)^{2\mu/\sigma^2 - 1} \Phi\left( \frac{\ln(K(0)/V_0) + (\mu - \sigma^2/2)T}{\sigma\sqrt{T}} \right) \text{Defaultable bond price: } \tilde{P}(t,T) = \mathbb{E}^{\mathbb{Q}}\left[ e^{-\int_t^T (r_s + \lambda_s) ds} \middle| \mathcal{F}_t \right]",Credit Models,Variables: | See markdown for detailed variables and explanation
The debt value D_t follows from the accounting identity V_t = E_t + D_t:,D_t = V_t - E_t = V_tN(-d_1) + Ke^{-r(T-t)}N(d_2),Credit Models,"This represents the present value of the promised payment K discounted at the risk-free rate, adjusted for the probability of default."
The hazard rate process emerges endogenously from the structural framework:,h(t) = f_τ(t) / P(τ > t),Credit Models,"This time-varying hazard rate reflects the firm's deteriorating financial health as assets approach the default barrier, providing crucial insight into credit term structure dynamics."
The one-factor Gaussian copula framework models default dependencies through a latent variable structure:,X_i = ρZ + √(1-ρ²)ε_i,Credit Models,"where X_i represents the standardized asset return of obligor i, Z is the systematic factor common to all obligors, ε_i are idiosyncratic factors independent of Z and each other, and ρ is the asset correlation parameter. Default occurs when X_i falls below a threshold Φ⁻¹(PD_i), where PD_i is the risk-neutral default probability."
The risk-neutral default probability under Merton's framework is:,PD^Q = Q(V_T < K) = N(-d_2^Q),Credit Models,where d_2^Q uses the risk-neutral drift r instead of μ. The physical default probability differs:
Survival Probability,\mathbb{P}(\tau > t) = e^{-\int_0^t \lambda_s ds},Credit Models,"This equation gives the survival probability, which is the probability that default has not occurred by time t."
Survival Probability,"s(t,T) = \frac{1}{T-t}\ln\left( \frac{1-R}{1-\mathbb{P}(\tau > T)} \right)",Credit Models,"Where R is the recovery rate. This equation relates the credit spread s(t,T) to the default probability and recovery rate."
Barrier Option,- \(V_t\): Firm asset value - \(D\): Debt face value (default barrier) - \(E_t\): Equity value - \(\sigma_V\): Asset volatility - \(\Phi(\cdot)\): Standard normal CDF PD^{\mathbb{Q}} = \Phi(-d_2) #### 2. Black-Cox First Passage Time Model \text{Default time } \tau = \inf\{ t \ge 0 : V_t \le K(t) \},Credit Models,Credit risk modeling framework
Survival Probability,"- \(K(t)\): Time-dependent default barrier (often exponential) \mathbb{Q}(\tau > T) = \Phi\left( \frac{\ln(V_0/K(0)) + (\mu - \sigma^2/2)T}{\sigma\sqrt{T}} \right) - \left( \frac{K(0)}{V_0} \right)^{2\mu/\sigma^2 - 1} \Phi\left( \frac{\ln(K(0)/V_0) + (\mu - \sigma^2/2)T}{\sigma\sqrt{T}} \right) #### 3. Duffie-Singleton Reduced-Form Model \text{Defaultable bond price: } \tilde{P}(t,T) = \mathbb{E}^{\mathbb{Q}}\left[ e^{-\int_t^T (r_s + \lambda_s) ds} \middle| \mathcal{F}_t \right]",Credit Models,Credit risk modeling framework
XGBoost Default,\hat{y} = \sum_{m=1}^M f_m(x),Credit Models,Gradient boosted trees for credit scoring.
Kalman Filter (Linear-Gaussian),x_{t|t} = x_{t|t-1} + K_t (y_t - H x_{t|t-1}),Econometrics,Optimal recursive filter for linear state space. K_t = P_{t|t-1} H' (H P_{t|t-1} H' + R)^{-1}. Prediction and update steps. Smoother for full path estimation.
Fixed Income Model Component,"\text{Continuation value approximated by regression: } \hat{C}(t_i, S) = \sum_{k=0}^K \beta_k \psi_k(S)",Econometrics,Statistical modeling technique
Pairs Trading,Z_t = (S_t^(1) - beta S_t^(2) - mu)/sigma,Econometrics,"Spread of cointegrated pair. Trade when Z deviates from 0. Mean-reversion expected. Beta from regression, spread normalized."
Regression Basis Polynomials,L_n(x) = e^x/n! d^n/dx^n (x^n e^{-x}),Econometrics,Laguerre polynomials for positive state space. Hermite for real line. Orthogonal polynomials with weight function. Efficient basis for regression.
Unscented Kalman Filter,mathcal X_t = sigma(hat x_{t-1},Econometrics,Econometrics
Best-of Rainbow,max\left(max(S_1(T),Exotic Options,S_n(T)) - K
Cliquet Payoff,\prod_{k=1}^n max(min(R_k,Exotic Options,F) - 1
Barrier Option,"Where:
- B: Barrier level
- \lambda = \frac{r - \frac{1}{2}\sigma^2}{\sigma^2}",Exotic Options,Complex derivative instrument
Volatility Model,"The basket volatility σ_B is approximated by
σ_B^2 = Σ_{i=1}^n Σ_{j=1}^n w_i w_j ρ_{ij} σ_i σ_j",Exotic Options,Complex derivative instrument
Fixed Income Model Component,"where S_T^Basket represents the basket value at maturity, calculated as
S_T^Basket = Σ_{i=1}^n w_i S_T^i",Exotic Options,Complex derivative instrument
Average Life,AL = ∑[t=1 to N] t × CF_t^{principal} / ∑[t=1 to N] CF_t^{principal},Fixed Income,"AL represents the weighted average time to receipt of principal payments (both scheduled and unscheduled). CF_t^{principal} = SP_t + PP_t denotes total principal received at time t. Average life measures the timing uncertainty of MBS cash flows and is a key metric for assessing exposure to reinvestment risk and rate movements. Higher prepayment speeds reduce average life by accelerating principal return, while slower speeds extend average life. This metric is particularly important for asset-liability management and duration matching. | WAL represents the weighted average life with timing convention using mid-period cash flows. The factor (t - 0.5) assumes cash flows occur evenly throughout each period, providing a more precise measure than using period-end timing. For monthly cash flows, this adjustment shifts timing by approximately half a month. WAL is the standard convention used in MBS markets for reporting and comparing the maturity characteristics of different pools or tranches."
Bond Pricing Formula,P = \sum_{t=1}^T \underbrace{\frac{C}{(1+y)^t}}_{\text{Disc. Coupons}} + \underbrace{\frac{F}{(1+y)^T}}_{\text{Disc. Principal}},Fixed Income,"The fundamental Discounted Cash Flow (DCF) formula for a coupon bond. C is the coupon payment, F is the face value (principal), and y is the Yield to Maturity (YTM). It equates the market price P to the present value of all future cash flows."
Bootstrap Method,P(T_i) = [1 - sum_{j=1}^{i-1} c_j P(T_j)]/(1 + c_i),Fixed Income,Recursive extraction of zero-coupon prices from coupon bond prices. Assumes linear interpolation. Ensures exact fit to market data. Foundation of curve construction.
Breakeven Inflation,BEI = (P_nominal/P_real)^(1/T) - 1,Fixed Income,Market expectation of inflation. TIPS spread to nominal. Inflation risk premium. Forward BEI from term structure.
Compound Rate Relationship,"(1+y)^(T-t) = 1/P(t,T)",Fixed Income,"This connects annually compounded rates y to discount factors. For different compounding frequencies m times per year: (1+y/m)^(m(T-t)) = 1/P(t,T). As m approaches infinity, this converges to continuous compounding exp(y(T-t)) = 1/P(t,T). The choice of compounding frequency affects quoted rates but not present values when applied consistently."
Conditional Prepayment Rate (CPR),CPR_t = 1 - (1 - SMM_t)^{12},Fixed Income,"CPR_t represents the Conditional Prepayment Rate at time t, defined as the annualized prepayment rate. SMM_t is the Single Monthly Mortality rate for month t. The relationship converts monthly prepayment probability to an annual rate by compounding monthly survival rates. CPR measures the percentage of outstanding mortgage principal that will be prepaid during a given year assuming prepayment behavior remains constant. This is the standard industry convention for quoting prepayment speeds in MBS markets."
Continuous Compounding,"r(t,T) = -ln(P(t,T))/(T-t)",Fixed Income,"This defines the continuously compounded zero rate r(t,T) between times t and T. The negative logarithm of the bond price normalized by maturity gives the constant continuous rate that would produce the same discount factor. This rate is fundamental in continuous-time finance because it eliminates compounding frequency complications. The relationship is invertible: P(t,T) = exp(-r(t,T)(T-t))."
Partial Differential Equation,C = (1/P) \partial^2 P / \partial y^2,Fixed Income,Second-order price sensitivity (curvature).
Convexity Adjustment (Futures),F_fut = F_fwd - 1/2 Cov( int_t^T r_s ds,Fixed Income,Interest Rate Derivatives
Cost of Carry (Commodities),F_0(T) = S_0 exp((r + u - y)T),Fixed Income,"Futures price = spot x cost of carry. r: financing, u: storage, y: convenience yield. Backwardation: F < S (high y). Contango: F > S (low y)."
Cost of Carry (Convenience Yield),"F(t,T) = S_t e^{(r + u - \underbrace{y}_{\text{Yield}}) (T-t)}",Fixed Income,"Often, futures trade below the cost-of-carry model (Backwardation). This is explained by the 'Convenience Yield' y. It represents the non-monetary benefit of holding the physical inventory (e.g., to keep a refinery running during a shortage). It acts like a dividend yield. High scarcity \implies High Convenience Yield \implies Backwardation."
Coupon Bond Price (Decomposition),P = sum_{i=1}^n c_i P(t,Fixed Income,T_n)
Discount Factor,π_t = e^{-rt} ζ_t,Fixed Income,Bond and interest rate analysis
Discount Factor,P_t = K e^{-r(T-t)} \Phi(-d_2) - S_t \Phi(-d_1),Fixed Income,Bond and interest rate analysis
Partial Differential Equation,"\frac{\partial^2 C}{\partial K^2} = e^{-rT} f(K,T)",Fixed Income,Bond and interest rate analysis
Discount Factor,P = K e^{-r_d T} \Phi(-d_2) - S_0 e^{-r_f T} \Phi(-d_1),Fixed Income,Bond and interest rate analysis
Discount Factor,F_0 = S_0 e^{(r_d - r_f)T} \quad \text{(continuously compounded)},Fixed Income,Bond and interest rate analysis
State Price Density Process,"V(t, S) = e^{-r(T-t)} \mathbb{E}^{\mathbb{Q}}[ \Phi(S_T) | S_t = S ]",Fixed Income,Bond and interest rate analysis
Put Option Price (Black-Scholes),"Price_{market}[a,d] = ∫(0 to T) e^{-rt} dE^Q[L_{[a,d]}(t); ρ_{a,d}]",Fixed Income,Bond and interest rate analysis
Risk-Neutral Density (Breeden-Litzenberger),"PV(Protection) = N_0 ∫_0^T E[e^{-∫_0^t (r_s + λ_s) ds}] dEL_t^{(A,D)}",Fixed Income,Bond and interest rate analysis
Put Option Price (Garman-Kohlhagen),"Jump Component Pricing:
P(S_T > K | jumps) = Σ_{n=0}^∞ (λT)^n e^{-λT}/n! * Φ(d_n)",Fixed Income,Bond and interest rate analysis
Covered Interest Rate Parity (Continuous),\mathbb{Q}(\tau > T) = \mathbb{E}^{\mathbb{Q}}\left[ e^{-\int_0^T \lambda_s ds} \right],Fixed Income,Bond and interest rate analysis
Feynman-Kac Formula,"\ln J_t \sim N(\mu_J, \sigma_J^2), \quad \bar{\mu} = e^{\mu_J + \sigma_J^2/2} - 1",Fixed Income,Bond and interest rate analysis
CDO Tranche Pricing,"P(τ_i ≤ t for all i ∈ S) = Φ_S( \{Φ^{-1}(1 - e^{-h_i t)}\}_{i∈S} ; \{√{ρ_i ρ_j}\}_{i,j∈S} )",Fixed Income,Bond and interest rate analysis
Fourier Transform Pricing,"Fourier Transform Methods:
C(K) = S_0 - e^{-rT}K/π ∫_0^∞ Re[e^{-iuk} φ(u - i/2)] / (u² + 1/4) du",Fixed Income,Bond and interest rate analysis
Fourier Transform Pricing,"s_{A,D} N_0 (D - A) ∫_0^T E[e^{-∫_0^t r_s ds}] dt = N_0 ∫_0^T E[e^{-∫_0^t r_s ds} dL_t^{(A,D)}]",Fixed Income,Bond and interest rate analysis
Discount Factor,P = \sum_i \mathbb{E}^{\mathbb{Q}} \left[ \frac{CF_i(path)}{e^{\int_0^{t_i} (r_s + OAS) ds}} \right],Fixed Income,Bond and interest rate analysis
Survival Probability (Cox Process),"p_i(z,t) = P(X_i ≤ Φ^{-1}(1 - e^{-h_i t}) | Z = z) = Φ( \frac{Φ^{-1}(1 - e^{-h_i t}) - √{ρ_i} z}{√{1-ρ_i}} )",Fixed Income,Bond and interest rate analysis
Lognormal Jump Distribution,"The second moment is
E[(S_T^Basket)^2] = Σ_{i=1}^n Σ_{j=1}^n w_i w_j S_0^i S_0^j e^{(2r + σ_i σ_j ρ_{ij})T}",Fixed Income,Bond and interest rate analysis
Joint Default Probability (Gaussian Copula),"s_{A,D} = \frac{E[∫_0^T e^{-rt} dProtection_t^{(A,D)}]}{∫_0^T e^{-rt} E[1_{\{τ_m > t\}}] dt N_0 (D - A)}",Fixed Income,Bond and interest rate analysis
Fourier Transform Option Pricing,"V = \max_{q_i \in [q_{min}, q_{max}]} \mathbb{E}^{\mathbb{Q}} \left[ \sum_{i=1}^N e^{-r t_i} q_i (S_{t_i} - K) \right]",Fixed Income,Bond and interest rate analysis
Discount Factor,\nu(dx) = \frac{C e^{-G|x|}}{|x|^{1+Y}} \mathbf{1}_{x<0} + \frac{C e^{-Mx}}{x^{1+Y}} \mathbf{1}_{x>0},Fixed Income,Bond and interest rate analysis
CDO Tranche Spread Formula,"s^{(2)}_{A^{(2)},D^{(2)}} = \frac{E[∫_0^T e^{-rt} dEL_t^{(2)}]}{∫_0^T e^{-rt} dt N_0^{(2)} (D^{(2)} - A^{(2)})}",Fixed Income,Bond and interest rate analysis
Option-Adjusted Spread Pricing,"Characteristic Function:
φ(u) = E[e^{iu ln(S_T)}] = exp(iu ln(S_0) + iu(r - σ²/2 - λκ)T - u²σ²T/2 + λT(e^{iuμ_J - u²δ²/2} - 1))",Fixed Income,Bond and interest rate analysis
Conditional Default Probability (Factor Model),"s = \frac{(1-R) \int_0^T P(0,t) \lambda(t) e^{-\int_0^t \lambda(u)du} dt}{\int_0^T P(0,t) e^{-\int_0^t \lambda(u)du} dt}",Fixed Income,Bond and interest rate analysis
Basket Option Second Moment,"For moment matching to a lognormal distribution with parameters μ and σ, we solve
E[S_T^Basket] = e^{μ + σ^2/2}
E[(S_T^Basket)^2] = e^{2μ + 2σ^2}",Fixed Income,Bond and interest rate analysis
Discount Factor,under the critical growth condition sup_u ‖∂^u(f/q)‖ ≤ Ce^{½‖x‖²+B‖x‖} with Gaussian proposals satisfying the light-tailed condition 𝔼_q[‖X‖⁴e^{2B‖X‖}𝟙{‖X‖≥R-1}] ≤ C₀R^αe^{-βR^γ}.,Fixed Income,Bond and interest rate analysis
CDO Tranche Spread (Alternative),"DF(t,T) = P(t,T) = 1/(1+y(T-t))^(T-t) = exp(-r(T-t))",Fixed Income,"This equation shows three equivalent representations of discount factors: the bond price representation, the discrete compounding form with yield y, and the continuous compounding form with rate r. The relationship demonstrates how different compounding conventions affect the same underlying present value calculation. For discrete compounding, the frequency matters: semi-annual gives (1+y/2)^(-2(T-t)), quarterly gives (1+y/4)^(-4(T-t)), converging to continuous compounding as frequency approaches infinity."
Optimal Exercise Boundary (American Options) / FX Forward Points,Points = S_0 * (r_d - r_f) * T,Fixed Income,Forward premium/discount. Points = F - S. Quoted as pips. Basis from CIP deviation.
CGMY Process Levy Measure / Fokker-Planck Equation,\frac{\partial p}{\partial t} = -\frac{\partial}{\partial S}[(r-q)Sp] + \frac{1}{2}\frac{\partial^2}{\partial S^2}[\sigma_{LV}^2 S^2 p],Fixed Income,Forward PDE for probability density under local vol.
Second Tranche CDO Spread / Geometric Series,\sum_{k=0}^\infty r^k = \underbrace{\frac{1}{1-r}}_{\text{Sum}} \quad \text{for } |r| < 1,Fixed Income,"The geometric series is the mathematical foundation for discounting cash flows. It underpins the formulas for perpetuities, annuities, and the dividend discount model. In risk management, the approximation $1/(1-r) \approx 1+r$ is often used for small rates, but the exact series is required for summing infinite streams of coupons or dividends."
Heston Model Characteristic Function / Gold Lease Rate,LeaseRate = r_risk-free - Cost of Carry,Fixed Income,Return on gold lending. Negative lease rate common (gold has cost of storage but no income). Basis for gold forward pricing: F = S(1 + r - l).
I-Spread (Interpolated Spread),I = y_bond - y_benchmark,Fixed Income,Spread to specific benchmark curve. Point-in-time comparison. Used for relative value analysis. Not curve-dependent.
CDS Par Spread Formula / Key Rate Duration,KRD_k = -(1/P) \partial P / \partial y_k,Fixed Income,Sensitivity to specific yield curve points.
Basket Option Moment Matching / Key Rate Duration (Alternative),D_{KR}(t) = -\frac{1}{P} \frac{\partial P}{\partial r_t},Fixed Income,"Key Rate Duration (or Partial Duration) measures the price sensitivity to a shift in a specific point (tenor) of the yield curve (e.g., 2y, 5y, 10y), while holding other rates constant. This allows for hedging non-parallel shifts (twists/turns) in the yield curve. | Key Rate Duration measures the price sensitivity to a shift in a specific point of the yield curve."
Partial Differential Equation,\frac{\partial p(x,Fixed Income,t_0)}{\partial t} = -\frac{\partial}{\partial x}[\mu(x | t)}{\partial t} = -\mu(x
MBS Carry Return,Carry = (WAC - Servicing_Spread) - Cost_of_Funding,Fixed Income,"Carry represents the periodic return earned from holding MBS, calculated as the net coupon received (WAC minus servicing and guarantee fees) minus the funding cost. For financed positions, Cost_of_Funding represents the repo rate or borrowing cost. Positive carry indicates the position earns more from coupons than funding costs, while negative carry means the position costs to hold. Carry is the primary driver of short-term MBS returns, independent of price movements. High carry can compensate for negative convexity risk in certain market environments."
Mathematical Constraint (Technical),CF_t^{interest} = (B_{t-1} - SP_t/2) × WAC_t/12,Fixed Income,"CF_t^{interest} represents the interest payment at time t, calculated on the average outstanding balance during the month. The balance (B_{t-1} - SP_t/2) approximates the mid-month balance, assuming scheduled principal amortizes evenly. For more precision with prepayments: CF_t^{interest} = (B_{t-1} - SP_t - PP_t/2) × WAC_t/12, which accounts for prepayments occurring mid-month. Interest payments are the primary source of cash flow for pass-through MBS and decrease over time as the outstanding balance declines through both scheduled and unscheduled payments."
Discount Factor Relationships,SP_t = MP_t - Interest_t,Fixed Income,"SP_t represents the scheduled principal payment at time t, calculated as the total mortgage payment MP_t minus the interest portion. For a level-payment mortgage with balance B_{t-1}, WAC_t, and remaining term N-t+1: MP_t = B_{t-1} × WAC_t/12 × (1 + WAC_t/12)^{N-t+1} / [(1 + WAC_t/12)^{N-t+1} - 1]. Interest_t = B_{t-1} × WAC_t/12. The scheduled amortization component is deterministic given the mortgage terms and declines over time as the balance decreases. This forms the baseline cash flow before accounting for prepayments."
I-Spread (Interpolated Spread),Cost_{convexity} ≈ 0.5 × |C| × σ_y^2 × WAM,Fixed Income,"Cost_{convexity} represents the annualized cost of holding MBS with negative convexity, approximated using the magnitude of convexity |C| squared yield volatility σ_y, and weighted average maturity WAM. This cost arises because negative convexity causes underperformance when yields move significantly. Investors demand compensation for bearing this cost, reflected in higher OAS. In high volatility environments, the convexity cost increases, making MBS less attractive relative to positively convex bonds. This framework quantifies the tradeoff between carry (coupon income) and convexity cost."
Kolmogorov Forward Equation,"\frac{\partial p(x,t)}{\partial t} = -\frac{\partial}{\partial x}[\mu(x,t) p(x,t)] + \frac{1}{2}\frac{\partial^2}{\partial x^2}[\sigma^2(x,t) p(x,t)]",Fixed Income,Forward equation for probability density evolution.
Real Yield,y_real = (1 + y_nom)/(1 + pi) - 1,Fixed Income,Yield after inflation adjustment. Important for TIPS analysis. Break-even inflation comparison. Real rate expectations.
Gold Lease Rate,SilverLeaseRate = r_risk-free + u - y,Fixed Income,Silver has industrial demand (negative convenience yield). Lease rate reflects storage costs and demand. Basis for silver forward pricing.
Spin-Off Value,Value_spin-off = sum_{i=1}^n w_i V_i/Total Value,Fixed Income,Value of subsidiary vs parent. Sum-of-parts analysis. Unlock value from discount. Distribution method affects value.
Basket Option Moment Matching,\sigma^2 = \log(E[(S_T^Basket)^2] / (E[S_T^Basket])^2),Fixed Income,Parameter estimation for basket option pricing.
TIPS Pricing,P_TIPS = 1/2 sum_{i=1}^{2n} (C/2 * IndexRatio_ti)/(1+y/2)^ti + (100 * IndexRatio_T)/(1+y/2)^T,Fixed Income,Inflation-adjusted principal and coupons. Semi-annual index ratio adjustment. Real yield from TIPS spread.
Fixed Income Model Component,V_t = \mathbb{E}^\mathbb{Q}\left[ e^{-\int_t^T r ds} \cdot \text{Payoff} \bigg| \mathcal{F}_t \right],Fixed Income,This fundamental equation states that the price of any derivative at time t is the discounted expected value of its future payoff under the risk-neutral measure.
